model_type,frac,seed,split,lr,val_auprc_mean
Soft_Clip_with_Frozen_Teacher,1,0,0,5e-05,0.5036517977714539
Soft_Clip_with_Frozen_Teacher,1,1,1,5e-05,0.5172157883644104
Soft_Clip_with_Frozen_Teacher,1,2,2,5e-05,0.49382466077804565
Soft_Clip_with_Frozen_Teacher,5,0,0,5e-05,0.5632753968238831
Soft_Clip_with_Frozen_Teacher,5,1,1,5e-05,0.5792257189750671
Soft_Clip_with_Frozen_Teacher,5,2,2,5e-05,0.5503681898117065
Soft_Clip_with_Frozen_Teacher,10,0,0,5e-05,0.5732129812240601
Soft_Clip_with_Frozen_Teacher,10,1,1,5e-05,0.622748613357544
Soft_Clip_with_Frozen_Teacher,10,2,2,5e-05,0.5631601214408875
Soft_Clip_with_Frozen_Teacher,25,0,0,5e-05,0.650213360786438
Soft_Clip_with_Frozen_Teacher,25,1,1,5e-05,0.6241614818572998
Soft_Clip_with_Frozen_Teacher,25,2,2,5e-05,0.5887550711631775
Soft_Clip_with_Frozen_Teacher,50,0,0,5e-05,0.6053694486618042
Soft_Clip_with_Frozen_Teacher,50,1,1,5e-05,0.679015040397644
Soft_Clip_with_Frozen_Teacher,50,2,2,5e-05,0.6168808341026306
Soft_Clip_with_Teacher,1,0,0,5e-05,0.5064569115638733
Soft_Clip_with_Teacher,1,1,1,5e-05,0.5155677199363708
Soft_Clip_with_Teacher,1,2,2,5e-05,0.4903542995452881
Soft_Clip_with_Teacher,5,0,0,5e-05,0.5683480501174927
Soft_Clip_with_Teacher,5,1,1,5e-05,0.5916396975517273
Soft_Clip_with_Teacher,5,2,2,5e-05,0.5569261908531189
Soft_Clip_with_Teacher,10,0,0,5e-05,0.5821451544761658
Soft_Clip_with_Teacher,10,1,1,5e-05,0.6193905472755432
Soft_Clip_with_Teacher,10,2,2,5e-05,0.5641041994094849
Soft_Clip_with_Teacher,25,0,0,5e-05,0.6467994451522827
Soft_Clip_with_Teacher,25,1,1,5e-05,0.6264559030532837
Soft_Clip_with_Teacher,25,2,2,5e-05,0.5936614871025085
Soft_Clip_with_Teacher,50,0,0,5e-05,0.6144728660583496
Soft_Clip_with_Teacher,50,1,1,5e-05,0.677885115146637
Soft_Clip_with_Teacher,50,2,2,5e-05,0.6246895790100098
Soft_Clip_with_Teacher_with_centering,1,0,0,5e-05,0.5055196285247803
Soft_Clip_with_Teacher_with_centering,1,1,1,5e-05,0.5187902450561523
Soft_Clip_with_Teacher_with_centering,1,2,2,5e-05,0.49859419465065
Soft_Clip_with_Teacher_with_centering,5,0,0,5e-05,0.5777402520179749
Soft_Clip_with_Teacher_with_centering,5,1,1,5e-05,0.5884938836097717
Soft_Clip_with_Teacher_with_centering,5,2,2,5e-05,0.5411520600318909
Soft_Clip_with_Teacher_with_centering,10,0,0,5e-05,0.5835554003715515
Soft_Clip_with_Teacher_with_centering,10,1,1,5e-05,0.6276360154151917
Soft_Clip_with_Teacher_with_centering,10,2,2,5e-05,0.555547297000885
Soft_Clip_with_Teacher_with_centering,25,0,0,5e-05,0.6301134824752808
Soft_Clip_with_Teacher_with_centering,25,1,1,5e-05,0.6278467774391174
Soft_Clip_with_Teacher_with_centering,25,2,2,5e-05,0.5856701731681824
Soft_Clip_with_Teacher_with_centering,50,0,0,5e-05,0.6068010330200195
Soft_Clip_with_Teacher_with_centering,50,1,1,5e-05,0.6797240376472473
Soft_Clip_with_Teacher_with_centering,50,2,2,5e-05,0.6210343837738037
Vanilla_Clip_with_VAE,1,0,0,5e-05,0.5117743611335754
Vanilla_Clip_with_VAE,1,1,1,5e-05,0.5115179419517517
Vanilla_Clip_with_VAE,1,2,2,5e-05,0.4794156849384308
Vanilla_Clip_with_VAE,5,0,0,5e-05,0.5544793009757996
Vanilla_Clip_with_VAE,5,1,1,5e-05,0.5752089619636536
Vanilla_Clip_with_VAE,5,2,2,5e-05,0.5520931482315063
Vanilla_Clip_with_VAE,10,0,0,5e-05,0.5686435699462891
Vanilla_Clip_with_VAE,10,1,1,5e-05,0.6204538345336914
Vanilla_Clip_with_VAE,10,2,2,5e-05,0.553695797920227
Vanilla_Clip_with_VAE,25,0,0,5e-05,0.628706693649292
Vanilla_Clip_with_VAE,25,1,1,5e-05,0.6343315839767456
Vanilla_Clip_with_VAE,25,2,2,5e-05,0.5976946949958801
Vanilla_Clip_with_VAE,50,0,0,5e-05,0.6384491324424744
Vanilla_Clip_with_VAE,50,1,1,5e-05,0.6935740113258362
Vanilla_Clip_with_VAE,50,2,2,5e-05,0.6217208504676819
Vanilla_Clip_with_VAE,100,1,1,5e-05,0.7266086935997009
Vanilla_Clip_without_VAE,1,0,0,5e-05,0.5000559091567993
Vanilla_Clip_without_VAE,1,1,1,5e-05,0.5213626623153687
Vanilla_Clip_without_VAE,1,2,2,5e-05,0.48163488507270813
Vanilla_Clip_without_VAE,5,0,0,5e-05,0.5647909641265869
Vanilla_Clip_without_VAE,5,1,1,5e-05,0.5890597701072693
Vanilla_Clip_without_VAE,5,2,2,5e-05,0.5604527592658997
Vanilla_Clip_without_VAE,10,0,0,5e-05,0.554807186126709
Vanilla_Clip_without_VAE,10,1,1,5e-05,0.6315332055091858
Vanilla_Clip_without_VAE,10,2,2,5e-05,0.5530528426170349
Vanilla_Clip_without_VAE,25,0,0,5e-05,0.6308002471923828
Vanilla_Clip_without_VAE,25,1,1,5e-05,0.6440423130989075
Vanilla_Clip_without_VAE,25,2,2,5e-05,0.5932083129882812
Vanilla_Clip_without_VAE,50,0,0,5e-05,0.6147103309631348
Vanilla_Clip_without_VAE,50,1,1,5e-05,0.6996235847473145
Vanilla_Clip_without_VAE,50,2,2,5e-05,0.6184327006340027
