lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.621343828915171,1.1002108928159162,-0.5211329360992547,0,2,1,0,0,0,0.0899600435972628,0.19873608389030353,0.7113038725124337,0.2557565036607964,0.38827609986249084,0.3559673964767127
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.8753531289726073,0.8607834422354412,-0.014569686737166077,0,1,1,0,0,0,0.3202328735544218,0.4841811239185491,0.19558600252702912,0.3698279347936575,0.39956068817724344,0.23061137702909892
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.5699691257298714,0.9596363857892598,0.38966726005938845,1,0,0,1,0,0,0.5770433468479496,0.27594418057422965,0.14701247257782085,0.38717186554656824,0.2660198831176039,0.34680825133582793
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.5699691257298714,0.42820410854053453,-0.14176501718933682,0,0,0,1,0,0,0.5770433468479496,0.27594418057422965,0.14701247257782085,0.6510053974369553,0.26978509658555483,0.07920950597748985
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.7799582944185877,0.7064831617692098,-0.07347513264937788,0,1,0,0,0,0,0.3915117605058076,0.4370181845697969,0.1714700549243954,0.431883455130949,0.42974992796889216,0.13836661690015883
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.9110175741955835,0.42820410854053453,-0.48281346565504896,0,0,0,0,0,0,0.3811856642875415,0.3266110972293333,0.2922032384831251,0.6510053974369553,0.26978509658555483,0.07920950597748985
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.7202490479511159,1.0548726797089416,0.3346236317578257,1,1,2,1,1,1,0.4064151563097268,0.4669206394294307,0.1266642042608426,0.3097711782886594,0.3255849637137396,0.364643857997601
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.8916654926802359,1.003623312150223,0.11195781946998706,1,1,2,1,1,1,0.3117550970167819,0.4848243132862,0.20342058969701796,0.3323027081524124,0.3317712715449522,0.3359260203026354
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.1654193047692512,1.2221610395582956,0.05674173478904443,1,1,1,1,0,0,0.14760611856891617,0.5393684580929168,0.31302542333816713,0.16651355798024473,0.44481184448121497,0.38867459753854033
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.0573384992850015,1.3911754457748962,0.3338369464898947,1,2,2,0,1,0,0.31762656498991015,0.3074083707351781,0.3749650642749117,0.14749898446389859,0.31382658529730667,0.5386744302387948
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,0.8925690201874307,1.2068520314256554,0.3142830112382248,1,0,2,0,1,0,0.44824745192810106,0.21093607595636713,0.3408164721155318,0.2200708141997907,0.3530063401747632,0.4269228456254461
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.5693052448201081,1.0211575241434891,-0.548147720676619,0,2,2,0,1,0,0.11039454194807756,0.2099056712837365,0.6796997867681859,0.41543912870297905,0.14796421845055285,0.4365966528464681
