lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.6853152402306995,1.6971080298893155,0.011792789658616076,1,2,2,0,1,0,0.07208332557759813,0.1705181086141045,0.7573985658082975,0.08750490624894001,0.12788215761280444,0.7846129361382556
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,1.4129728989646095,1.2517315212685507,-0.16124137769605884,0,2,2,0,1,0,0.17354629694491847,0.23993450714555342,0.5865191959095281,0.21883704725839087,0.3105943842146676,0.4705685685269415
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.8276921606261458,0.6590538472561223,-0.16863831337002355,0,1,0,0,0,0,0.34891423527436,0.47447936882513436,0.17660639590050572,0.48855034518361856,0.3638454623766409,0.14760419243974066
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.8276921606261458,0.6925852227351883,-0.1351069378909575,0,1,0,0,0,0,0.34891423527436,0.47447936882513436,0.17660639590050572,0.4645207040934382,0.37837336907793523,0.15710592682862656
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.5513501539375694,0.4743291393548011,-0.07702101458276828,0,0,0,1,0,0,0.6798748026790684,0.08890024070429389,0.23122495661663772,0.7205771932931776,0.08451647405884359,0.19490633264797874
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.0058298986518692,0.6925852227351883,-0.3132446759166809,0,1,0,1,0,0,0.3028994696755885,0.38837116199695376,0.30872936832745773,0.4645207040934382,0.37837336907793523,0.15710592682862656
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.7656387665305093,0.9989338932746077,0.23329512674409836,1,1,1,1,0,0,0.39371209859458123,0.44693703628032816,0.1593508651250906,0.2584874144315606,0.48409127786227113,0.2574213077061683
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.8378231365606847,0.8511270998519507,0.01330396329126593,1,1,1,1,0,0,0.32245788628018823,0.5172610908789391,0.1602810228408728,0.35710747579858293,0.43465794855088324,0.20823457565053372
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.2240368654841767,1.1534664728306685,-0.07057039265350817,0,2,2,0,1,0,0.22716539749413392,0.32163233952755566,0.4512022629783105,0.2582334155736492,0.330066696022033,0.41169988840431776
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.1324086856113564,1.514304454894882,0.38189576928352564,1,2,2,0,1,0,0.2705530568721958,0.3264852006442519,0.40296174248355227,0.09528661765824846,0.2951223097886211,0.6095910725531305
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.4177751162041656,1.2928213060353362,-0.12495381016882945,0,2,2,0,1,0,0.14887285098469,0.2844791818264546,0.5666479671888555,0.21552915482328827,0.27612038431808716,0.5083504608586246
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.4507788057766564,1.5308541856261708,0.0800753798495144,1,2,2,0,1,0,0.18219855794081824,0.1848240783417072,0.6329773637174746,0.1399941894562546,0.18915743546132005,0.6708483750824253
