lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.3632012298041074,1.3126943342194766,-0.05050689558463084,0,2,2,0,1,0,0.18819638469669314,0.26040600080250637,0.5513976145008005,0.18215796278270635,0.32298974021511095,0.49485229700218275
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,1.1252306684279536,1.0600212359667607,-0.06520943246119293,0,2,1,0,0,0,0.265157489878937,0.34445435181417217,0.3903881583068908,0.27716238003792804,0.38565400395738336,0.33718361600468866
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.8852539837968816,0.8888604983717081,0.003606514574826525,1,0,0,1,0,0,0.3789336057609675,0.35687880468118344,0.26418758955784905,0.37072069772474253,0.36969810617880694,0.2595811960964506
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.8852539837968816,1.0053396309945206,0.12008564719763903,1,0,2,1,1,1,0.3789336057609675,0.35687880468118344,0.26418758955784905,0.3331840325083824,0.3282923039887146,0.33852366350290297
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.9017789292678964,0.8775149479557183,-0.024263981312178107,0,0,0,1,0,0,0.39262611286102134,0.312968845010061,0.2944050421289177,0.4122106956298588,0.2980636607845643,0.28972564358557695
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.0347539862582624,1.0053396309945206,-0.02941435526374181,0,1,2,1,1,1,0.2869036372905628,0.391438739160612,0.3216576235488252,0.3331840325083824,0.3282923039887146,0.33852366350290297
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,1.1536425197896074,1.2919163842596246,0.13827386447001722,1,1,2,1,1,1,0.21712590044557628,0.41210567931924014,0.3707684202351836,0.17963312005396148,0.3488173756324525,0.4715495043135861
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.9858591328874324,1.0257152395174542,0.039856106630021815,1,1,1,1,0,0,0.2505157908217934,0.5131092854689809,0.23637492370922572,0.28639803058746693,0.4014886993076119,0.3121132701049212
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,0.9132334926050679,0.9881268258575656,0.0748933332524977,1,0,0,0,0,0,0.4045451478241597,0.27767621174661283,0.31777864042922754,0.3810022282616861,0.24986871761906218,0.36912905411925173
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.0842359090661655,1.2480925009962252,0.16385659193005964,1,2,2,0,1,0,0.3173556139617441,0.2810528630103464,0.4015915230279095,0.2212246873713753,0.30945812426102426,0.4693171883676005
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.0554046580462353,1.1195438581313417,0.06413920008510643,1,2,2,0,1,0,0.32683445972154335,0.2909264225106782,0.3822391177677786,0.28945623825436273,0.3015436653599326,0.4090000963857046
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.084746891056639,0.9563757917922743,-0.12837109926436463,0,1,0,1,0,0,0.2755773099023121,0.3640984891387368,0.360324200958951,0.3770372983333319,0.28954961154106185,0.3334130901256062
