lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.3161966253498651,1.258585634705704,-0.057610990644161086,0,2,2,0,1,0,0.1629545519337891,0.3578942707825565,0.47915117728365436,0.2017654535475798,0.33788345819913657,0.46035108825328375
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,1.2090852607206062,0.9796682525166098,-0.22941700820399635,0,2,1,0,0,0,0.21335615743579556,0.36420242440780276,0.4224414181564017,0.28257770246752384,0.4551763425483426,0.2622459549841336
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.9295686583167889,0.9099747612176154,-0.019593897099173474,0,1,1,0,0,0,0.2566445596202673,0.5571422224426764,0.18621321793705625,0.2472862934513902,0.5954526518796042,0.15726105466900567
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.9295686583167889,0.9070703697769813,-0.02249828853980762,0,1,1,0,0,0,0.2566445596202673,0.5571422224426764,0.18621321793705625,0.2716597108010502,0.5496102086209181,0.17873008057803158
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,1.1472340528060632,1.1753441967862472,0.028110143980184077,1,1,1,0,0,0,0.07593010290484926,0.7009057413842384,0.2231641557109123,0.06526098157603204,0.694133840061689,0.2406051783622791
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.9791249072589161,0.9070703697769813,-0.0720545374819348,0,1,1,1,0,0,0.27832132268098203,0.4642324473791198,0.25744622993989813,0.2716597108010502,0.5496102086209181,0.17873008057803158
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.8636264983614608,1.008761861813778,0.14513536345231715,1,1,1,1,0,0,0.3597306924241873,0.41691211679016454,0.22335719078564814,0.32135853436186823,0.3485210694624858,0.33012039617564604
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.1112747263670628,1.0878424751909284,-0.023432251176134455,0,2,2,0,1,0,0.28607696488168755,0.3165713438695622,0.39735169124875025,0.3208115911246163,0.27053434255983894,0.4086540663155447
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.2565016364074868,1.1851651291091243,-0.0713365072983625,0,2,2,0,1,0,0.21680950611935615,0.3098793513538012,0.4733111425268428,0.24731875954169924,0.320197351807477,0.4324838886508237
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.1497336958340219,1.3479087058547417,0.1981750100207198,1,2,2,0,1,0,0.2605114384799665,0.3292434272060452,0.41024513431398835,0.21482630887480061,0.22243867639565712,0.5627350147295422
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.1332433804031492,1.1845573942754328,0.051314013872283626,1,2,1,0,0,0,0.2899097695728282,0.2869370804511945,0.42315314997597736,0.19602969880305546,0.42338320811845626,0.38058709307848826
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.3171221913091968,1.1891215539940272,-0.12800063731516964,0,2,2,0,1,0,0.20242458229939694,0.27802864409200934,0.5195467736085938,0.21950474924400884,0.37186894751795524,0.40862630323803595
