lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.4905573850854297,1.2349266269790735,-0.25563075810635616,0,2,2,0,1,0,0.12563767287752717,0.25816726915951593,0.6161950579629569,0.2542126934530753,0.25664798611477574,0.48913932043214886
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,1.2384256695900728,1.1038164920451021,-0.1346091775449707,0,1,1,0,0,0,0.03907220684122416,0.6834299167274788,0.27749787643129703,0.06481609304575978,0.7665513218633787,0.16863258509086168
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.8201225588143228,0.7596828923538709,-0.06043966646045196,0,1,1,0,0,0,0.22091904513540392,0.7380393509148695,0.041041603949726696,0.2693487447817698,0.7016196180825893,0.0290316371356408
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.8201225588143228,0.7107397919162582,-0.10938276689806459,0,1,1,0,0,0,0.22091904513540392,0.7380393509148695,0.041041603949726696,0.3315587307488124,0.6261427465861171,0.04229852266507057
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,1.37606571118862,1.4004313591984086,0.024365648009788465,1,1,1,0,0,0,0.03232704073800194,0.5592802073353762,0.4083927519266219,0.036467727898772076,0.5266331850040475,0.43689908709718045
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.9158712426433426,0.7107397919162582,-0.20513145072708439,0,1,1,1,0,0,0.21120001712877226,0.6617287230991128,0.12707125977211492,0.3315587307488124,0.6261427465861171,0.04229852266507057
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,1.0465452999783311,1.4371462780922226,0.3906009781138915,1,1,2,1,1,1,0.21681029839238086,0.5198341032369072,0.26335559837071204,0.14402246684052591,0.27480878822672544,0.5811687449327486
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.1310061555973188,1.0442054277017832,-0.08680072789553561,0,1,2,1,1,1,0.24007329196345745,0.38884726047576623,0.3710794475607763,0.3309335319093819,0.29392750847945304,0.3751389596111651
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.401224093661204,1.4116607379971615,0.01043664433595759,1,2,2,0,1,0,0.11439249598805273,0.36999091436269066,0.5156165896492566,0.126299219291978,0.33574082341888256,0.5379599572891395
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.0346975229153519,1.4685377768294077,0.4338402539140558,1,2,2,0,1,0,0.34494270431529933,0.2754170684540498,0.379640227230651,0.18806693566860197,0.15532835183338853,0.6566047124980096
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.0673171029287472,0.944013668852552,-0.12330343407619515,0,2,1,0,0,0,0.3142937924243371,0.30409531222257896,0.38161089535308407,0.2745916283307945,0.5068030744858592,0.21860529718334643
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.537052384852855,1.2993506278543272,-0.2377017569985278,0,2,2,0,1,0,0.10540642052338492,0.2521347741003751,0.64245880537624,0.15807285488129733,0.38450366238307837,0.45742348273562444
