lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.2731987764142247,1.337076328818097,0.06387755240387216,1,2,2,0,1,0,0.20824381480960963,0.310313593966556,0.4814425912238344,0.185236914313824,0.2924498425542548,0.5223132431319211
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.9243377655403735,0.8033321323344598,-0.12100563320591373,0,1,0,0,0,0,0.33808860149776193,0.3994850314641027,0.26242636703813543,0.4216449812936741,0.35337790507819217,0.2249771136281338
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.9946772421690926,0.8939985538363002,-0.10067868833279237,0,1,1,0,0,0,0.31867337968353526,0.36797599846383683,0.3133506218526279,0.3675918477448115,0.3708177506740766,0.26159040158111185
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.9946772421690926,0.8693499050552886,-0.12532733711380395,0,1,0,0,0,0,0.31867337968353526,0.36797599846383683,0.3133506218526279,0.39340348195707087,0.3438431310305697,0.2627533870123595
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.9942851055717976,1.0180779864732845,0.0237928809014869,1,1,1,0,0,0,0.30170618615677036,0.4023025221146617,0.295991291728568,0.27721530590376886,0.42749140171917777,0.2952932923770534
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.8753015731006024,0.8693499050552886,-0.005951668045313774,0,0,0,0,0,0,0.38696679017740987,0.3507648465445779,0.26226836327801223,0.39340348195707087,0.3438431310305697,0.2627533870123595
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.9377088214127908,1.110257431487352,0.17254861007456113,1,1,2,1,1,1,0.33490347001123705,0.392484238564735,0.2726122914240279,0.27772209633104405,0.3342983758505599,0.38797952781839595
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.0100256450103893,1.0277776502069966,0.017752005196607357,1,1,2,1,1,1,0.3130372331364809,0.3638998887166488,0.3230628781468703,0.32940955405752226,0.3134032416779588,0.3571872042645189
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.199183525855242,1.2134880100011105,0.014304484145868601,1,2,2,0,1,0,0.23250386129637263,0.3358087515520129,0.4316873871516145,0.21644760343933958,0.3536167831202105,0.42993561344045
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.0253399348595285,1.1885986065541705,0.16325867169464203,1,1,2,1,1,1,0.31388414809171244,0.34689176895704676,0.33922408295124085,0.2558049584797248,0.29979147648637977,0.4444035650338954
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.0831592463141098,1.072003638107419,-0.011155608206690815,0,2,1,0,0,0,0.30583948552293255,0.3051617826400249,0.3889987318370424,0.27799365408660875,0.37200905371936355,0.34999729219402764
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.153950000430882,1.0301193456684898,-0.12383065476239219,0,2,1,0,0,0,0.2535630631087432,0.33892387335163154,0.4075130635396253,0.2958240459205497,0.3782325624904107,0.32594339158903957
