lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.1877260783899795,1.1269872527913687,-0.06073882559861077,0,2,2,0,1,0,0.28399634363728316,0.2442812343354542,0.4717224220272626,0.3303748466033469,0.21226305400193785,0.4573620993947154
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.8642083383733287,0.7395528486431395,-0.12465548973018914,0,1,1,0,0,0,0.29945294157879315,0.5368857784690851,0.16366127995212176,0.31525285731915303,0.6299414367185542,0.054805705962292686
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.7357136940061175,0.7392394689529643,0.0035257749468468047,1,1,1,0,0,0,0.35198856399166023,0.5603091780105618,0.0877022579977779,0.3296046836820151,0.6015511636830052,0.06884415263497955
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.7357136940061175,0.7621762967435943,0.026462602737476804,1,1,1,0,0,0,0.35198856399166023,0.5603091780105618,0.0877022579977779,0.35103962192135074,0.535744459413704,0.11321591866494521
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,1.7074156811616295,1.730667839242063,0.02325215808043346,1,2,2,0,1,0,0.012214479839224357,0.2681553591599217,0.7196301610008539,0.010970022237011962,0.24739211628391308,0.741637861479075
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.80397290004983,0.7621762967435943,-0.04179660330623569,0,1,1,1,0,0,0.3842106757210333,0.4276057485081035,0.18818357577086325,0.35103962192135074,0.535744459413704,0.11321591866494521
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.8900413309228321,1.1485619650222212,0.2585206340993891,1,1,1,1,0,0,0.2993591381475628,0.5112403927820425,0.1894004690703948,0.1998610699188219,0.4517158951401352,0.34842303494104293
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.1852957619872395,1.018324978965166,-0.16697078302207347,0,2,2,0,1,0,0.24887486776435203,0.31695450248405627,0.43417062975159165,0.3765739453936313,0.2285271302475713,0.39489892435879737
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.4839727232319508,1.479465800757069,-0.004506922474881936,0,2,2,0,1,0,0.1130855765963247,0.2898561235753997,0.5970582998282756,0.09214272808504198,0.336248743072847,0.571608528842111
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,0.9504235409504558,1.4833872904931367,0.5329637495426809,1,0,2,0,1,0,0.37627943994579555,0.2970175791579531,0.3267029808962513,0.16062488058392085,0.19536294833902143,0.6440121710770577
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,0.8592109410188635,1.2555189277700134,0.39630798675114987,1,0,2,0,1,0,0.42045668365050237,0.2998756916801318,0.27966762466936584,0.16340154255141273,0.4176779871271611,0.41892047032142615
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.3563629275399385,1.3375343446359438,-0.018828582903994695,0,2,2,0,1,0,0.1544840591809412,0.334668954098179,0.5108469867208798,0.18271814447461915,0.297029366414818,0.5202524891105629
