lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.290649367300379,1.2622093193841974,-0.028440047916181488,0,2,2,0,1,0,0.1899019757197516,0.3295466812601181,0.4805513430201304,0.189012373949011,0.3597659327177809,0.4512216933332083
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,1.3936201709083325,1.187204273001151,-0.2064158979071815,0,2,2,0,1,0,0.15844038653036308,0.2894990560309414,0.5520605574386955,0.23562495590358504,0.34154581519167876,0.4228292289047361
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,1.0982728556063606,1.0734836258694482,-0.024789229736912333,0,1,1,0,0,0,0.18090048744754278,0.5399261694985537,0.2791733430539035,0.19063784236836273,0.5452406893938262,0.264121468237811
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,1.0982728556063606,1.0903323249959374,-0.007940530610423213,0,1,1,0,0,0,0.18090048744754278,0.5399261694985537,0.2791733430539035,0.20033784037653715,0.5089919942509885,0.29067016537247437
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,1.1419043204783152,1.1489214629832176,0.007017142504902374,1,1,1,0,0,0,0.04944198525266457,0.7592117090163559,0.1913463057309796,0.0530595967748919,0.7449593434669985,0.2019810597581095
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.1349435173306106,1.0903323249959374,-0.044611192334673255,0,1,1,1,0,0,0.20048607317500894,0.4640843363193715,0.33542959050561955,0.20033784037653715,0.5089919942509885,0.29067016537247437
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.9160450140902252,0.9949075239513446,0.07886250986111942,1,0,0,0,0,0,0.3678476942128471,0.34825959748408064,0.2838927083030723,0.3371841504411477,0.33072417516636,0.3320916743924923
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.0514618714582322,1.081902641783051,0.030440770324818844,1,1,2,1,1,1,0.2771245432367741,0.39428904206821946,0.3285864146950064,0.3026419917315889,0.31281337475377097,0.3845446335146401
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.223831906177897,1.2142801258025793,-0.009551780375317787,0,2,2,0,1,0,0.2248734634808437,0.32642116686041567,0.4487053696587407,0.2375365140442946,0.31064684610883136,0.451816639846874
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.2251684437646475,1.3321745310731967,0.10700608730854921,1,2,2,0,1,0,0.21742431928942005,0.33998291765651256,0.4425927630540675,0.2144738990935482,0.23887767073970667,0.546648430166745
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.0567021930386122,1.0581109353034932,0.0014087422648809689,1,2,1,0,0,0,0.3106708402192901,0.3219561265228076,0.36737303325790227,0.2770368958010173,0.38781527309447206,0.3351478311045106
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.117776199166827,1.119741923651938,0.001965724485111009,1,2,2,0,1,0,0.28095490428694075,0.32031399225929175,0.39873110345376755,0.2840274616872895,0.3122031529734828,0.4037693853392276
