lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.7346832972495154,1.5282087497488746,-0.20647454750064087,0,2,2,0,1,0,0.07668991360028704,0.11193687554991061,0.8113732108498024,0.0538977749279282,0.3639957003952688,0.5821065246768029
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.5195310737421241,0.4759026694234987,-0.04362840431862547,0,0,0,1,0,0,0.5831303203153335,0.31420828562720904,0.10266139405745756,0.6427878512367919,0.23852162810291774,0.11869052066029048
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.9200643724108957,0.9411858209214247,0.021121448510528995,1,1,1,0,0,0,0.3368511320108477,0.40623336356740897,0.2569155044217433,0.33698988231088145,0.38483441445681255,0.27817570323230606
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.9200643724108957,0.967520933743157,0.04745656133226128,1,1,1,0,0,0,0.3368511320108477,0.40623336356740897,0.2569155044217433,0.31801812042434735,0.3964428254081484,0.2855390541675043
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.8584874180679991,0.9911411350050071,0.132653716937008,1,0,0,1,0,0,0.4158442402011964,0.30982410152960804,0.27433165826919553,0.35593594402438,0.2969869769462328,0.34707707902938717
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.7646218535224659,0.967520933743157,0.20289908022069103,1,0,1,0,0,0,0.4688767625028107,0.29762462147191243,0.23349861602527675,0.31801812042434735,0.3964428254081484,0.2855390541675043
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.9981930361670033,1.0639863680300055,0.06579333186300218,1,1,1,1,0,0,0.24339730936326073,0.5150123451064751,0.24159034553026412,0.2499163778704525,0.43618087622908963,0.3139027459004579
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.9816458538302247,1.1005490937838311,0.11890323995360641,1,1,2,1,1,1,0.23715146872069734,0.5440512087283806,0.21879732255092205,0.3088105756315263,0.2818297549531165,0.4093596694153573
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.3056346580285743,1.4411543946063543,0.13551973657778005,1,2,2,0,1,0,0.1704046911838882,0.3535559596036494,0.47603934921246244,0.07452399918654866,0.40979760702054846,0.5156783937929029
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.3019358786612598,1.5686890056101483,0.26675312694888853,1,2,2,0,1,0,0.26851329865509865,0.16103752402854302,0.5704491773163584,0.13580008614964278,0.1597108220905659,0.7044890917597912
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,0.9584009018174093,0.8405492378746462,-0.11785166394276314,0,0,1,0,0,0,0.3674218884357159,0.3067553213111588,0.32582279025312527,0.32139987329745745,0.5166510155304388,0.16194911117210367
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.2008380428924095,1.4504074571372134,0.24956941424480394,1,1,2,1,1,1,0.17701364900632088,0.4451346590949488,0.3778516918987303,0.17229852522389127,0.20499549241500406,0.6227059823611046
