lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.2995171346163112,0.9229053476309516,-0.3766117869853597,0,2,0,0,0,0,0.28612055901774347,0.12824174734820146,0.5856376936340549,0.4967454917945823,0.08360366877988391,0.41965083942553383
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.977253080912047,0.9046202373262552,-0.0726328435857918,0,1,1,0,0,0,0.06828526498286498,0.8861763891222227,0.045538345894912124,0.09915771978298799,0.8970643231077687,0.0037779571092431984
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.5209685476612806,0.8177334947978715,0.29676494713659085,1,1,1,0,0,0,0.4914495830174442,0.49613228630383077,0.012418130678724926,0.19178753421824327,0.7986914367656418,0.009521029016114827
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.5209685476612806,0.45738113646647294,-0.06358741119480771,0,1,0,0,0,0,0.4914495830174442,0.49613228630383077,0.012418130678724926,0.5624261355711972,0.41776659239113245,0.019807272037670246
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,1.397651518621612,1.6149711923671892,0.21731967374557715,1,1,2,0,1,0,0.019312214990876465,0.5637240513966351,0.41696373361248845,0.029661328594122516,0.32570615044456575,0.6446325209613117
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.8387086991141297,0.45738113646647294,-0.38132756264765677,0,1,0,1,0,0,0.19624247623455368,0.768806348416763,0.03495117534868335,0.5624261355711972,0.41776659239113245,0.019807272037670246
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,1.442163819284592,1.8423057024351768,0.40014188315058474,1,2,2,0,1,0,0.10683038144563572,0.34417541782413663,0.5489942007302276,0.06472552302082951,0.02824325152316406,0.9070312254560063
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.8050592211699461,0.7803882291904538,-0.024670991979492296,0,1,0,1,0,0,0.31669893955739736,0.5615428997152592,0.12175816072734347,0.4563170614062073,0.3069776479971316,0.2367052905966611
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.2264867536397657,1.4389570245266725,0.21247027088690684,1,1,1,1,0,0,0.018310098234330538,0.7368930498915736,0.24479685187409603,0.03584892447388602,0.48934512652555534,0.4748059490005586
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,0.29394928627129974,1.8673818401864708,1.573432553915171,1,0,2,0,1,0,0.8299588191567001,0.04613307541530005,0.12390810542799985,0.0541752470763288,0.02426766566087177,0.9215570872627995
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,0.8904911107252884,1.7742822364839717,0.8837911257586832,1,0,2,0,1,0,0.42572109959936455,0.25806669007598226,0.3162122103246531,0.024679577256846365,0.17635860900233571,0.798961813740818
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.306426765143406,1.0889740247104442,-0.2174527404329618,0,1,1,1,0,0,0.07767363373536115,0.5382259673858715,0.3841003988787673,0.1244939586335152,0.6620380580225254,0.2134679833439595
