lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.3410529776697029,1.306663225119531,-0.03438975255017196,0,2,2,0,1,0,0.1343006590705176,0.3903457041892622,0.4753536367402203,0.1995871142941912,0.2941625462920865,0.5062503394137222
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,1.123591701365228,0.8760160082701921,-0.2475756930950358,0,2,0,0,0,0,0.2899971310283218,0.2964140365781286,0.4135888323935496,0.39856884516969043,0.32684630139042703,0.27458485343988254
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,1.1430334649354215,0.8455081604170879,-0.2975253045183336,0,1,1,0,0,0,0.23113783704450755,0.39469086097556355,0.374171301979929,0.34292433743753026,0.4686431647078515,0.1884324978546182
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,1.1430334649354215,1.0198774887172664,-0.1231559762181551,0,1,1,0,0,0,0.23113783704450755,0.39469086097556355,0.374171301979929,0.2488357774225275,0.48245095643767866,0.2687132661397939
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.8706435428901422,1.1565527985680457,0.2859092556779035,1,1,1,0,0,0,0.32024911408485,0.4888582289401578,0.19089265697499225,0.16951191361982926,0.5044233741922958,0.32606471218787497
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.9370443472722008,1.0198774887172664,0.0828331414450656,1,1,1,1,0,0,0.2969451661288344,0.46906532047013055,0.2339895134010351,0.2488357774225275,0.48245095643767866,0.2687132661397939
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.853423035616544,1.3974827644047967,0.5440597287882527,1,1,2,1,1,1,0.3595590040590273,0.42745895626540126,0.2129820396755714,0.1377734396099634,0.3269703563752764,0.5352562040147602
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.0168726111784379,1.4820719844027697,0.4651993732243318,1,1,2,1,1,1,0.23761820354351948,0.507890981734523,0.2544908147219575,0.13899568272209992,0.2399366501530306,0.6210676671248695
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.2313517904977231,1.3188961592337665,0.08754436873604332,1,1,2,1,1,1,0.14358049769183365,0.4814872141186094,0.3749322881895569,0.17268975191333813,0.3357243369395574,0.49158591114710454
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.1649920120935908,1.6504528288671316,0.4854608167735408,1,2,2,0,1,0,0.2540531231549754,0.3269017415964584,0.4190451352485662,0.08233314957686988,0.18488087197912853,0.7327859784440015
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.1663307554997433,1.1527978344816059,-0.013532921018137412,0,2,1,0,0,0,0.28025199412478086,0.2731652562506949,0.4465827496245242,0.20108359020826752,0.44503498510185907,0.3538814246898734
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,0.9925202404815998,1.456692347497011,0.46417210701541123,1,1,2,1,1,1,0.30268309121414355,0.40211357709011303,0.29520333169574337,0.14979947224597792,0.24370870801103311,0.6064918197429889
