lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.3564936739676552,1.3197037035385748,-0.03678997042908039,0,2,2,0,1,0,0.14396289455098427,0.35558053693037617,0.5004565685186395,0.161472366453977,0.3573515635534711,0.48117606999255186
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,1.1707004276247128,1.0111760610408647,-0.15952436658384817,0,1,1,0,0,0,0.19056529692184945,0.44816897853158827,0.3612657245465623,0.2585680864103038,0.47168776613852803,0.2697441474511683
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,1.0824071178706087,1.0116336089660618,-0.07077350890454692,0,1,1,0,0,0,0.20855213327443436,0.5004886155805225,0.29095925114504306,0.25915208950233953,0.470062212029259,0.27078569846840134
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,1.0824071178706087,1.0914199472978425,0.009012829427233804,1,1,1,0,0,0,0.20855213327443436,0.5004886155805225,0.29095925114504306,0.22991159162335167,0.4487568694554541,0.32133153892119426
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,1.4546650481317394,1.4509189438228,-0.003746104308939291,0,2,2,0,1,0,0.045009769700166645,0.45531541246792717,0.49967481783190615,0.046831400735473795,0.45541825470625247,0.49775034455827377
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.224895244692457,1.0914199472978425,-0.1334752973946145,0,2,1,0,0,0,0.20631221675156805,0.3624803218044069,0.431207461444025,0.22991159162335167,0.4487568694554541,0.32133153892119426
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.840821699630449,0.9600748079631309,0.11925310833268199,1,1,1,1,0,0,0.38040671999000986,0.3983648603895313,0.22122841962045886,0.33902779935496363,0.36186959332694196,0.29910260731809446
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.1822999252555402,1.2027437799888345,0.020443854733294353,1,1,2,1,1,1,0.20756129610680213,0.4025774825308555,0.3898612213623423,0.2248468212977749,0.3475625774156154,0.4275906012866096
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.2130121481881833,1.1674107685718655,-0.045601379616317717,0,2,2,0,1,0,0.23500984142079656,0.31696816897022345,0.44802198960897993,0.2679969010036765,0.2965954294207816,0.435407669575542
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.4012058637085856,1.4592618729623876,0.058056009253802054,1,2,2,0,1,0,0.13390832882023151,0.3309774786509515,0.535114192528817,0.1448636005925252,0.2510109258525619,0.6041254735549129
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.0384736244949049,1.0977192811730152,0.059245656678110326,1,2,1,0,0,0,0.33167091987069475,0.29818453576370557,0.3701445443655997,0.25828589775007926,0.3857089233268263,0.35600517892309447
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.1120730961060432,1.1951036522487908,0.08303055614274757,1,1,2,1,1,1,0.24570466463289398,0.3965175746281688,0.3577777607389372,0.22044206672110309,0.3640122143090031,0.41554571896989384
