lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.3268109435936877,1.4917770111872601,0.16496606759357246,1,2,2,0,1,0,0.15717921856019096,0.3588306192859304,0.4839901621538787,0.11543788837366876,0.2773472120654023,0.6072148995609289
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.6520655493582159,0.4276529586900527,-0.22441259066816321,0,0,0,1,0,0,0.4932454849198021,0.36144348080218025,0.1453110342780178,0.6137183324532328,0.34491037640348143,0.04137129114328565
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.8879840366989366,0.7976209990774863,-0.09036303762145026,0,1,1,0,0,0,0.14597817596339682,0.8200596113742696,0.03396221266233348,0.22045567165452165,0.7614676576134701,0.01807667073200811
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.8879840366989366,0.8844197495621877,-0.003564287136748834,0,1,1,0,0,0,0.14597817596339682,0.8200596113742696,0.03396221266233348,0.16017048359432862,0.795239283249155,0.04459023315651633
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,1.3306385090939266,1.4002715052828976,0.06963299618897101,1,2,2,0,1,0,0.1165636092750555,0.43623427235596246,0.447202118368982,0.10050491868665479,0.3987186573437928,0.5007764239695524
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.8886062070051743,0.8844197495621877,-0.004186457442986624,0,1,1,1,0,0,0.1761171954083905,0.7591594021780445,0.06472340241356493,0.16017048359432862,0.795239283249155,0.04459023315651633
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.7121789519606544,1.14018523624343,0.42800628428277554,1,0,2,0,1,0,0.47376114978311334,0.34029874847311903,0.18594010174376768,0.26379557212862503,0.33222361949932006,0.40398080837205497
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.1520891052513302,1.0070009136861775,-0.14508819156515274,0,1,2,1,1,1,0.22926797358163173,0.3893749475854062,0.38135707883296205,0.34578043875437114,0.3014382088050802,0.35278135244054865
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.370104143359818,1.3939567954375336,0.023852652077715586,1,2,2,0,1,0,0.17436468902780086,0.28116647858458016,0.5444688323876189,0.15987797837082746,0.2862872478208116,0.553834773808361
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.1288019363979989,1.3820036811092442,0.25320174471124535,1,2,2,0,1,0,0.30646975376278174,0.2582585560764379,0.43527169016078043,0.22738850808806232,0.16321930271463134,0.6093921891973064
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.1629355735889515,1.168512304319775,0.0055767307308234315,1,2,2,0,1,0,0.2475549525735652,0.3419545212639182,0.41049052616251663,0.22352049700144577,0.3844467016773335,0.39203280132122076
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.2894990257328853,1.27308420923727,-0.01641481649561527,0,2,2,0,1,0,0.1830892758012754,0.3443224226645638,0.47258830153416076,0.15935912741655436,0.40819753592962127,0.43244333665382445
