lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.243821855566961,1.2754483055187578,0.031626449951796864,1,2,2,0,1,0,0.18260099117732126,0.39097616207839664,0.42642284674428216,0.19919360131243724,0.3261644918563674,0.4746419068311952
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.8129971535454933,0.7987397691000802,-0.014257384445413135,0,0,0,1,0,0,0.4539585915051448,0.27908566344421715,0.26695574505063807,0.44697836556909104,0.3073034997617378,0.2457181346691712
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,1.0110330803739505,0.9134863158122216,-0.09754676456172884,0,1,1,0,0,0,0.29401310130516156,0.4009407170157265,0.305046181679112,0.33798276184399945,0.4105481604997797,0.25146907765622095
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,1.0110330803739505,1.0391457045352661,0.028112624161315658,1,1,1,0,0,0,0.29401310130516156,0.4009407170157265,0.305046181679112,0.28454163295588825,0.3917710295529572,0.3236873374911545
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.9206862198491426,0.9237275274234872,0.0030413075743446205,1,0,0,1,0,0,0.3619056136433516,0.35550255286415433,0.2825918334924941,0.36317411352204026,0.3499242455324322,0.2869016409455275
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.018522765226913,1.0391457045352661,0.020622939308353017,1,1,1,1,0,0,0.3175720157134537,0.34633320334617945,0.3360947809403668,0.28454163295588825,0.3917710295529572,0.3236873374911545
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.8514420434509005,1.0162989471368582,0.16485690368595773,1,1,1,1,0,0,0.3472934974962105,0.4539709615566782,0.19873554094711116,0.30990514728241747,0.3638907582983069,0.32620409441927567
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.1409502645147738,1.0111343490353972,-0.12981591547937654,0,1,2,1,1,1,0.23182182099262535,0.3954060934999756,0.37277208550739904,0.3439389349857024,0.3009877809931979,0.3550732840210996
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.1748560846508607,1.2384176696544351,0.06356158500357445,1,2,2,0,1,0,0.2502409802379809,0.32466195487317734,0.4250970648888417,0.21136453722797632,0.33885325588961235,0.44978220688241133
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.198763985456147,1.0763753596574324,-0.12238862579871457,0,2,2,0,1,0,0.23395212632373036,0.3333317618963926,0.4327161117798772,0.3101895581865462,0.3032455239694753,0.3865649178439785
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.1978465645673018,1.2603375151524754,0.06249095058517362,1,2,2,0,1,0,0.23542422972891863,0.3313049759748609,0.4332707942962204,0.1862484639174019,0.36716555701272074,0.4465859790698773
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.0445004220774792,1.2364271815087233,0.19192675943124415,1,1,2,1,1,1,0.2652581841046944,0.424983209713132,0.30975860618217355,0.2165837287820656,0.3304053609271455,0.4530109102907889
