lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.2624707954615046,1.2788008663484711,0.016330070886966475,1,2,2,0,1,0,0.17594966522890457,0.38562987408068616,0.43842046069040924,0.1846726249004589,0.35185388385061106,0.46347349124893
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,1.2113779917805634,1.0872143555846971,-0.12416363619586623,0,2,1,0,0,0,0.2119399590003897,0.364742090218657,0.4233179507809532,0.25417214944024646,0.4044413455348099,0.34138650502494367
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.9631986219887579,0.8970084847607421,-0.06619013722801581,0,1,1,0,0,0,0.18710331888918658,0.6625947402328689,0.15030194087794452,0.2157088560380671,0.6715738031631237,0.11271734079880923
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.9631986219887579,0.9617957868789572,-0.0014028351098007708,0,1,1,0,0,0,0.18710331888918658,0.6625947402328689,0.15030194087794452,0.19508647933467754,0.6480312544516876,0.15688226621363477
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,1.059154151606124,1.070644182403333,0.011490030797209005,1,1,1,0,0,0,0.14583224631050729,0.6491813557728614,0.2049863979166313,0.14888742741316902,0.6315809627703289,0.21953160981650208
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.96502398089729,0.9617957868789572,-0.003228194018332853,0,1,1,1,0,0,0.22593295310081354,0.5831101129010827,0.19095693399810365,0.19508647933467754,0.6480312544516876,0.15688226621363477
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.8241375978719658,0.9599996486262984,0.13586205075433255,1,1,1,1,0,0,0.3787474863922099,0.41836742934361437,0.20288508426417576,0.3387380546326789,0.3625242421083439,0.29873770325897725
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.1030792702555487,1.1405595277443217,0.03748025748877293,1,1,2,1,1,1,0.25625882361186475,0.3844030825207217,0.35933809386741355,0.27749765828144496,0.30444515569278824,0.41805718602576675
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.15269774754377,1.1543086058548921,0.0016108583111220653,1,2,2,0,1,0,0.2701566786493404,0.30698889515754924,0.4228544261931104,0.26722241354065274,0.3112465670638025,0.4215310193955448
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.231889365498777,1.3108777793105315,0.07898841381175448,1,2,2,0,1,0,0.21062933251337004,0.34685196947448316,0.44251869801214694,0.20694756868691036,0.27522708331564766,0.517825347997442
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.1071672472250573,1.1389026349386802,0.03173538771362283,1,2,2,0,1,0,0.2861120706952226,0.32060861138449764,0.3932793179202798,0.24333643405980077,0.3744244969417183,0.3822390689984809
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.16593822438462,1.221391606618187,0.055453382233566995,1,2,2,0,1,0,0.2285156197768376,0.37703053606170495,0.39445384416145746,0.19539818032782866,0.38781203272615566,0.41678978694601565
