lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.407292715126016,1.567646951894768,0.16035423676875205,1,2,2,0,1,0,0.11183417499300538,0.36903893488797324,0.5191268901190214,0.07992147659978446,0.27251009490566297,0.6475684284945525
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.7354327847813646,0.5640385648105369,-0.1713942199708277,0,1,1,0,0,0,0.368178783952631,0.5282096473133734,0.10361156873399564,0.46937639561423655,0.4972086439609902,0.03341496042477339
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.8692994695303078,0.8259010310817078,-0.04339843844860003,0,1,1,0,0,0,0.18486450457933315,0.7609715213110259,0.054163974109640946,0.22181264773445875,0.730473673449375,0.0477136788161664
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.8692994695303078,0.8755525347534332,0.006253065223125409,1,1,1,0,0,0,0.18486450457933315,0.7609715213110259,0.054163974109640946,0.19521821732799335,0.7340110305905803,0.07077075208142644
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,1.2344752978294051,1.2951209783792028,0.06064568054979769,1,1,1,0,0,0,0.1011487012251841,0.5632272997202267,0.33562399905458923,0.10758385942321222,0.4897113027743729,0.4027048378024149
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.824431187799261,0.8755525347534332,0.05112134695417225,1,1,1,1,0,0,0.24339832370469908,0.6887721647913408,0.06782951150396005,0.19521821732799335,0.7340110305905803,0.07077075208142644
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.6899725180930997,1.1669425385853014,0.4769700204922017,1,0,2,0,1,0,0.492127375013328,0.32577273188024436,0.18209989310642766,0.2786947871121065,0.27566788719048574,0.44563732569740777
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.0878771276364014,1.0605703545404452,-0.027306773095956194,0,1,2,1,1,1,0.26927700615623507,0.37356886005112855,0.35715413379263644,0.30117541687435095,0.33707881171085285,0.36174577141479614
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.2653772302319048,1.3497424824590711,0.08436525222716629,1,2,2,0,1,0,0.22988499572009977,0.2748527783278953,0.4952622259520048,0.1901684056478491,0.26992070624523046,0.5399108881069203
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.1602793280304182,1.378376908428543,0.21809758039812488,1,2,2,0,1,0,0.23411827604234284,0.371484119884896,0.3943976040727611,0.19937464311984268,0.22287380533177165,0.5777515515483858
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.1438208005657668,1.1766283116894076,0.032807511123640776,1,1,2,1,1,1,0.22580939920552617,0.40456040102318075,0.3696301997712931,0.22400289129852938,0.3753659057135337,0.400631202987937
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.331837716184832,1.3686482962259405,0.03681058004110849,1,2,2,0,1,0,0.20254571505437033,0.26307085370642735,0.5343834312392024,0.14739686441110705,0.33655797495184536,0.5160451606370476
