lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.2442316685175987,1.2399865383403599,-0.004245130177238821,0,2,2,0,1,0,0.1815357321454791,0.39269686719144326,0.42576740066307767,0.18972362224328504,0.3805662171730696,0.4297101605836452
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.9198977219380009,0.8306476686497247,-0.08925005328827618,0,0,0,1,0,0,0.36134638412036285,0.35740950982127356,0.28124410605836364,0.39478755122266396,0.3797772289049473,0.2254352198723887
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.9470868125776541,0.9152782658335394,-0.03180854674411471,0,1,1,0,0,0,0.23900100494529705,0.5749111775317516,0.18608781752295128,0.23564061226555244,0.6134405096353558,0.15091887809909185
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.9470868125776541,0.9599706886627222,0.012883876085068025,1,1,1,0,0,0,0.23900100494529705,0.5749111775317516,0.18608781752295128,0.23661253357883025,0.5668042441796174,0.19658322224155236
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.9795515681270777,1.0021884666741077,0.022636898547029993,1,1,1,0,0,0,0.22446483755161836,0.5715187567696858,0.20401640567869592,0.21529137257503575,0.5672287881758209,0.21747983924914333
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.9953822366821926,0.9599706886627222,-0.03541154801947044,0,1,1,1,0,0,0.26937245091865525,0.46587286148049656,0.264754687600848,0.23661253357883025,0.5668042441796174,0.19658322224155236
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.8107991750192796,0.9542915239040909,0.14349234888481133,1,1,1,1,0,0,0.38576371822305083,0.4176733885346186,0.19656289324233048,0.32703218794036615,0.3916441002151767,0.2813237118444571
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.1209559769544195,1.138931863807493,0.017975886853073497,1,1,2,1,1,1,0.247527229698614,0.38398956364835257,0.36848320665303347,0.267976483832604,0.32511516852729905,0.40690834764009703
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.1036012413490945,1.1023842257530732,-0.0012170155960213869,0,2,2,0,1,0,0.2891120892687582,0.31817458011338884,0.39271333061785285,0.2851877677999037,0.3272402386471193,0.38757199355297695
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.1309609050429201,1.2089575166052478,0.07799661156232762,1,2,2,0,1,0,0.2551914891045812,0.35865611674791753,0.38615239414750124,0.24496826101580813,0.30110596136313617,0.4539257776210558
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.0861630079679272,1.2027876700428095,0.11662466207488231,1,2,2,0,1,0,0.2904311009579472,0.3329747901161782,0.3765941089258745,0.23801462053519004,0.3211830888868106,0.4408022905779994
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.0512735018657162,1.119289214416218,0.06801571255050187,1,1,2,1,1,1,0.2988371045633533,0.351052289007577,0.35011060642906966,0.26062157737035807,0.35946763084306577,0.37991079178657616
