lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.1917695005744269,1.198852361227147,0.007082860652720013,1,1,1,0,0,0,0.1986182017726561,0.41099409588026103,0.3903877023470829,0.17912108615639258,0.4429054664600681,0.37797344738353933
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.79240030309531,0.781182055538473,-0.01121824755683698,0,0,0,1,0,0,0.44849117399222743,0.31061734892023546,0.24089147708753722,0.43614854000890063,0.3465208644437261,0.21733059554737344
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.8292189525237534,0.7460794314492865,-0.08313952107446698,0,1,0,0,0,0,0.3788377267167781,0.41310559404269054,0.20805667924053142,0.42049494496941786,0.41293067861187793,0.16657437641870426
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.8292189525237534,0.8050997007558546,-0.024119251767898864,0,1,0,0,0,0,0.3788377267167781,0.41310559404269054,0.20805667924053142,0.41280981811375217,0.36928066301664103,0.21790951886960677
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.8428341958543141,0.8625619163823328,0.019727720528018744,1,0,0,1,0,0,0.39030288078840475,0.37656004256887643,0.23313707664271882,0.38379840826527384,0.36984126708711956,0.24636032464760665
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.7522909716086448,0.8050997007558546,0.0528087291472098,1,0,0,0,0,0,0.4732770311408039,0.3011549661097473,0.22556800274944877,0.41280981811375217,0.36928066301664103,0.21790951886960677
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.7978915391443051,0.8621966789007774,0.06430513975647234,1,1,0,1,0,0,0.38837534035889676,0.42535778013790143,0.1862668795032018,0.3992883257929612,0.33922666951330005,0.2614850046937387
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.094034477664061,1.0950525949719336,0.0010181173078727124,1,1,2,1,1,1,0.22744926676542038,0.4510669888050983,0.32148374442948124,0.2995886179935996,0.3057701690408671,0.3946412129655333
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.1535458176160047,1.1891005321211172,0.035554714505112495,1,2,2,0,1,0,0.27816391847377314,0.29012634543644883,0.431709736089778,0.23780398924472992,0.33529148938942266,0.42690452136584733
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.1757684342902448,1.2559399147558648,0.08017148046561995,1,2,2,0,1,0,0.22564846184358256,0.3729346420225899,0.4014168961338274,0.2356445760228066,0.2727709331985217,0.49158449077867156
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.0792203978286936,1.1900723707993164,0.11085197297062277,1,1,2,1,1,1,0.2637649743174954,0.39324965353631575,0.3429853721461889,0.20800036215556367,0.39392690488955634,0.39807273295488
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.0670306244330676,1.1137380184663876,0.04670739403332003,1,1,1,1,0,0,0.2633758394045806,0.40621769675777136,0.3304064638376481,0.2120503998031514,0.4621611819273097,0.32578841826953897
