lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.2169629803624094,1.1250054870163022,-0.09195749334610714,0,2,1,0,0,0,0.21605163735350222,0.3509337449305861,0.43301461771591165,0.24363682665377864,0.38772085967614056,0.3686423136700808
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.8089926845440094,0.8239747719017769,0.014982087357767515,1,0,0,1,0,0,0.430268340017899,0.3304706354201927,0.23926102456190834,0.4232494549537201,0.3295263181907829,0.24722422685549703
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.8987970583883625,0.8653304314148849,-0.03346662697347769,0,0,0,1,0,0,0.3886262376116291,0.3239504663883792,0.28742329599999167,0.3850163506594695,0.3646368672661762,0.2503467820743543
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.8987970583883625,0.892314950013978,-0.006482108374384565,0,0,0,1,0,0,0.3886262376116291,0.3239504663883792,0.28742329599999167,0.3806788413085071,0.3463273673690081,0.2729937913224849
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.7570398447506371,0.7464602226916262,-0.010579622059010974,0,0,0,1,0,0,0.44251849332319504,0.3579231686029728,0.19955833807383216,0.4437655510965897,0.36600867511519447,0.1902257737882158
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.9167348605164067,0.892314950013978,-0.024419910502428754,0,1,0,1,0,0,0.35504697203414726,0.3731711954152986,0.2717818325505541,0.3806788413085071,0.3463273673690081,0.2729937913224849
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,1.05218162195388,1.0851155528117604,0.032933930857880434,1,1,2,1,1,1,0.2803573523931849,0.38710367325975015,0.332538974347065,0.28349481114421327,0.347894824899813,0.36861036395597374
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.1226405652544356,1.1108163998346072,-0.011824165419828336,0,2,2,0,1,0,0.26714926737669514,0.34306089999217415,0.3897898326311307,0.2880016206381734,0.3131803588890459,0.39881802047278064
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.05435477953426,1.0248564803233664,-0.02949829921089364,0,1,2,1,1,1,0.2937315927447369,0.35818203497626605,0.34808637227899697,0.3211816508812397,0.3327802179141543,0.3460381312046061
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,0.9874941167724254,1.143265771989641,0.1557716552172157,1,1,2,1,1,1,0.3221012415482211,0.36830340013113233,0.30959535832064655,0.26855974403482014,0.31961473994071865,0.4118255160244612
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.1994141241539316,1.1909589931508298,-0.008455131003101801,0,2,2,0,1,0,0.25250274317941923,0.29558038948723003,0.4519168673333508,0.2556986847907698,0.2976436372676307,0.4466576779415995
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.205668791391339,1.1564539930534852,-0.049214798337853916,0,2,2,0,1,0,0.23531047825271703,0.3237102521032267,0.4409792696440562,0.25076560801049114,0.3420147909255326,0.40721960106397626
