category,model,layer,pairwise_accuracy,both_correct_rate,mean_delta,median_delta,pairwise_acc_dist1,pairwise_acc_dist2,per_drug_roc_auc_macro_ovr,per_drug_balanced_accuracy,per_drug_kappa_linear,per_drug_spearman_r
Baseline,ChemBERTa-MLM,N/A,0.3667,0.1667,-0.0363,-0.0012,0.4857,0.2,0.5867,0.5373,0.2504,0.1485
Baseline,ChemBERTa-MTR,N/A,0.4,0.0167,-0.0092,-0.0546,0.5143,0.24,0.5547,0.4511,0.1485,0.0738
Baseline,ECFP_1024_2,N/A,0.5833,0.2167,0.0282,0.0464,0.7714,0.32,0.6502,0.5851,0.2474,0.1816
Baseline,MoLFormer-XL-both-10pct,N/A,0.3167,0.2167,0.0038,-0.0079,0.3429,0.28,0.6311,0.5992,0.2524,0.1111
Comparison,Vanilla_Clip_VAE,GNN,0.5556,0.05,0.0115,0.0097,0.6476,0.4267,0.4107,0.3363,0.0473,0.0781
Comparison,Vanilla_Clip_VAE,first_fc,0.4889,0.0778,0.0063,-0.0033,0.4857,0.4933,0.4485,0.3878,0.1087,0.0715
Comparison,Vanilla_Clip_VAE,second_fc,0.5667,0.1,0.0155,0.0123,0.6667,0.4267,0.6151,0.4581,0.1813,0.2305
Comparison,Vanilla_Clip_noVAE,GNN,0.6667,0.1167,0.0326,0.0192,0.8,0.48,0.4539,0.3906,0.1197,0.1957
Comparison,Vanilla_Clip_noVAE,first_fc,0.6167,0.0556,0.0507,0.0166,0.6381,0.5867,0.4928,0.3627,0.1223,0.153
Comparison,Vanilla_Clip_noVAE,second_fc,0.7111,0.1,0.0128,0.0137,0.8952,0.4533,0.5714,0.4154,0.1232,0.2517
Your Models,Soft_Clip_Frozen_Teacher,GNN,0.4167,0.0278,-0.0033,-0.0167,0.5714,0.2,0.3722,0.2804,-0.0718,-0.0269
Your Models,Soft_Clip_Frozen_Teacher,first_fc,0.4167,0.1278,-0.0087,-0.0376,0.4952,0.3067,0.4671,0.3303,0.0777,0.0464
Your Models,Soft_Clip_Frozen_Teacher,second_fc,0.4278,0.1222,-0.0004,-0.0008,0.4762,0.36,0.5561,0.3525,0.0959,0.1618
Your Models,Soft_Clip_Teacher,GNN,0.55,0.0278,0.0029,-0.0003,0.6571,0.4,0.375,0.2792,-0.0044,-0.0337
Your Models,Soft_Clip_Teacher,first_fc,0.5556,0.0556,0.0259,0.0028,0.5238,0.6,0.4712,0.3587,0.102,0.0551
Your Models,Soft_Clip_Teacher,second_fc,0.6778,0.1111,0.0284,0.0365,0.8381,0.4533,0.6025,0.4249,0.1317,0.1572
Your Models,Soft_Clip_Teacher_Centering,GNN,0.5556,0.1944,0.0126,0.0177,0.6667,0.4,0.4248,0.3894,0.099,-0.017
Your Models,Soft_Clip_Teacher_Centering,first_fc,0.5333,0.0889,0.0569,0.0188,0.619,0.4133,0.5135,0.3441,0.056,0.1001
Your Models,Soft_Clip_Teacher_Centering,second_fc,0.55,0.1944,0.0544,0.0372,0.6952,0.3467,0.6229,0.3985,0.1455,0.2636
