feature,pairwise_accuracy,both_correct_rate,n_pairs_dist1,pairwise_acc_dist1,both_correct_dist1,n_pairs_dist2,pairwise_acc_dist2,both_correct_dist2,per_drug_accuracy,per_drug_balanced_accuracy,per_drug_f1_macro,per_drug_f1_weighted,per_drug_mae,per_drug_adjacent_accuracy,per_drug_roc_auc_macro_ovr,per_drug_roc_auc_weighted_ovr
ChemBERTa-MLM,0.36666666666666664,0.1666666666666666,7.0,0.48571428571428565,0.2857142857142857,5.0,0.2,0.0,0.5230769230769231,0.5373015873015874,0.49712392545725875,0.53029690395075,0.6307692307692309,0.8461538461538461,0.5866810966810967,0.5706293706293707
ChemBERTa-MTR,0.4,0.01666666666666666,7.0,0.5142857142857142,0.02857142857142856,5.0,0.24,0.0,0.5307692307692308,0.45111111111111113,0.4505411792508567,0.5291361492105909,0.6384615384615385,0.8307692307692308,0.5547360826308194,0.5529628266470372
ECFP_1024_2,0.5833333333333334,0.21666666666666665,7.0,0.7714285714285715,0.2857142857142857,5.0,0.32,0.12000000000000002,0.6076923076923076,0.5850793650793651,0.5722270832615661,0.6221090050533021,0.6230769230769231,0.7692307692307693,0.6502380952380953,0.6576923076923077
GNN_Soft_Clip_with_Frozen_Teacher_seed0_GNN,0.5833333333333334,0.0,7.0,0.7142857142857143,0.0,5.0,0.4,0.0,0.4230769230769231,0.2698412698412698,0.2496392496392496,0.3881118881118881,0.6923076923076923,0.8846153846153847,0.3601048074732285,0.44295178505704824
GNN_Soft_Clip_with_Frozen_Teacher_seed0_first_fc,0.5833333333333334,0.13333333333333328,7.0,0.6285714285714286,0.22857142857142856,5.0,0.52,0.0,0.45384615384615384,0.3526984126984126,0.331358024691358,0.43760683760683755,0.6923076923076923,0.8538461538461538,0.5070745044429256,0.5338608759661391
GNN_Soft_Clip_with_Frozen_Teacher_seed0_second_fc,0.25,0.0833333333333333,7.0,0.4285714285714285,0.1428571428571428,5.0,0.0,0.0,0.4230769230769231,0.3460317460317459,0.3136507936507937,0.4256410256410256,0.6538461538461539,0.9230769230769231,0.556694767221083,0.5638571954361427
GNN_Soft_Clip_with_Frozen_Teacher_seed1_GNN,0.3333333333333333,0.0,7.0,0.4285714285714285,0.0,5.0,0.2,0.0,0.3846153846153846,0.273015873015873,0.2562091503267973,0.3710407239819004,0.7307692307692307,0.8846153846153847,0.3669799498746867,0.42813765182186236
GNN_Soft_Clip_with_Frozen_Teacher_seed1_first_fc,0.3333333333333333,0.0833333333333333,7.0,0.4285714285714285,0.1428571428571428,5.0,0.2,0.0,0.4615384615384615,0.3174603174603174,0.3132183908045977,0.4651856763925729,0.6153846153846154,0.9230769230769231,0.49126604389762274,0.5360691939639307
GNN_Soft_Clip_with_Frozen_Teacher_seed1_second_fc,0.5333333333333334,0.03333333333333332,7.0,0.4285714285714285,0.05714285714285714,5.0,0.68,0.0,0.41538461538461535,0.41301587301587295,0.38638146167557924,0.4333826957356369,0.7076923076923076,0.8769230769230768,0.5944941900205059,0.5928781744571218
GNN_Soft_Clip_with_Frozen_Teacher_seed2_GNN,0.3333333333333333,0.0833333333333333,7.0,0.5714285714285714,0.1428571428571428,5.0,0.0,0.0,0.3846153846153846,0.2984126984126984,0.2666666666666666,0.3692307692307692,0.6923076923076923,0.9230769230769231,0.3895553277132224,0.4583179977916819
