lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost,lower_cum_p_gt0,higher_cum_p_gt0
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.2885917465919208,1.1312461153293278,-0.15734563126259293,0,2,2,0,1,0,0.3303281709016903,0.05075191140469845,0.6189199175936112,0.36620499915099336,0.13634388616868556,0.4974511145803211,0.6696718289983097,0.6337950007490066
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.8727678168186481,0.8301977985103973,-0.0425700183082508,0,0,0,1,0,0,0.5325545752060014,0.06212303256934893,0.4053223921246496,0.544769557144727,0.08026308700014854,0.3749673557551244,0.4674454246939985,0.45523044275527297
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.898174656719937,0.9329493723784632,0.03477471565852619,1,0,0,1,0,0,0.511798270869763,0.07822880134053686,0.40997292768970006,0.4883069861085393,0.09043665520445814,0.42125635858700256,0.48820172903023695,0.5116930137914607
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.898174656719937,0.737037476803522,-0.16113717991641496,0,0,0,1,0,0,0.511798270869763,0.07822880134053686,0.40997292768970006,0.5873284705984162,0.08830558179964525,0.3243659475019384,0.48820172903023695,0.4126715293015837
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.6485426842874658,0.6388968241639701,-0.009645860123495664,0,0,0,1,0,0,0.6382157313682292,0.07502585277607585,0.28675841575569494,0.6372420011652538,0.08661917330552225,0.2761388254292239,0.3617842685317708,0.3627579987347462
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.9538783275918382,0.737037476803522,-0.21684085078831616,0,0,0,0,0,0,0.4969547997705256,0.05221207266711065,0.45083312746236376,0.5873284705984162,0.08830558179964525,0.3243659475019384,0.5030452001294744,0.4126715293015837
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.8821880368217152,1.1083296227313204,0.2261415859096052,1,0,2,0,1,0,0.507120191842031,0.10357157929422278,0.3893082287637462,0.42518551961892326,0.04129933783083305,0.5335151424502437,0.492879808057969,0.5748144802810767
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.1041162382278131,1.0880083828802967,-0.016107855347516464,0,2,2,0,1,0,0.4031285385067973,0.08962668455859218,0.5072447768346104,0.4521551213524748,0.007681374214753704,0.5401635043327715,0.5968714613932027,0.5478448785475252
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.0282151813886342,1.0189870993162526,-0.009228082072381572,0,2,2,0,1,0,0.41995820268257056,0.1318684130462246,0.44817338417120484,0.42893699962565934,0.1231389012324287,0.447924099041912,0.5800417972174294,0.5710630002743406
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.0941916054776022,1.2688797037459107,0.17468809826830856,1,2,2,0,1,0,0.41784001817092564,0.07012835798054662,0.5120316237485277,0.3526052670985011,0.025909761857086995,0.6214849709444119,0.5821599817290743,0.647394732801499
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.1178299559776261,1.186122353231121,0.06829239725349479,1,2,2,0,1,0,0.4410850219111869,0.0,0.5589149779888131,0.3872488453609846,0.03937995584690986,0.5733711986921055,0.5589149779888131,0.6127511545390154
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.366052521072137,1.0175522684237301,-0.3485002526484069,0,2,2,0,1,0,0.31697373936393153,0.0,0.6830262605360685,0.4912238656881349,0.0,0.5087761342118651,0.6830262605360685,0.5087761342118651
