lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost,lower_cum_p_gt0,higher_cum_p_gt0
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.6948908325542216,1.446997002688651,-0.24789382986557063,0,2,2,0,1,0,0.1525545836228892,0.0,0.8474454162771108,0.27650149855567446,0.0,0.7234985013443255,0.8474454162771108,0.7234985013443255
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,1.272785992675166,1.3594833113806999,0.08669731870553399,1,2,2,0,1,0,0.36360700356241704,0.0,0.636392996337583,0.32025834420965005,0.0,0.6797416556903499,0.636392996337583,0.6797416556903499
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.7481321856503516,0.8793403893367018,0.13120820368635022,1,0,0,1,0,0,0.45911226386944853,0.33364328641075147,0.20724444961980004,0.44115015133234103,0.23835930779861614,0.3204905407690428,0.5408877360305515,0.558849848567659
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.7481321856503516,0.8891609252616526,0.14102873961130102,1,0,0,1,0,0,0.45911226386944853,0.33364328641075147,0.20724444961980004,0.5166586082811032,0.07752185797614103,0.40581953364275575,0.5408877360305515,0.4833413916188968
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.13622128496907662,0.13068877459492906,-0.0055325103741475645,0,0,0,1,0,0,0.9318893574154617,0.0,0.06811064248453831,0.9346556126025355,0.0,0.06534438729746453,0.06811064248453831,0.06534438729746453
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.3049533785936802,0.8891609252616526,-0.41579245333202763,0,2,0,0,0,0,0.3475233106031599,0.0,0.6524766892968401,0.5166586082811032,0.07752185797614103,0.40581953364275575,0.6524766892968401,0.4833413916188968
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.7055842578609401,1.0051541952866785,0.29956993742573834,1,0,2,0,1,0,0.47586679806410376,0.3426821458108525,0.18145105602504383,0.3606053697408775,0.27363506503156665,0.36575956512755586,0.5241332018358963,0.6393946301591225
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.6332316311269183,0.6738701467048087,0.040638515577890444,1,0,0,0,0,0,0.49741151357690144,0.3719453415192789,0.1306431448038197,0.5217103250207912,0.282709203053609,0.19558047182559982,0.5025884863230986,0.4782896748792088
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.4076564212093319,1.2910338750321633,-0.1166225461771686,0,2,2,0,1,0,0.2720084050853197,0.04832676842002871,0.6796648263946515,0.3328286450250419,0.04330883471775292,0.6238625201572052,0.7279915948146802,0.6671713548749582
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,0.8493602240787118,1.677696600001472,0.8283363759227601,1,0,2,0,1,0,0.575319887860644,0.0,0.4246801120393559,0.14220736082470498,0.037888678149118,0.819903960926177,0.4246801120393559,0.857792639075295
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.5333010821170447,1.4989844670381829,-0.034316615078861856,0,2,2,0,1,0,0.20753330695026612,0.05163230378242298,0.7408343891673109,0.2505077663809085,0.0,0.7494922335190914,0.7924666929497339,0.7494922335190914
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.2957249021775001,1.2955166987392697,-0.00020820343823046983,0,2,2,0,1,0,0.35213754881124987,0.0,0.6478624510887501,0.35224165053036516,0.0,0.6477583493696348,0.6478624510887501,0.6477583493696348
