lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost,lower_cum_p_gt0,higher_cum_p_gt0
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.4057042190502105,1.571595832764654,0.1658916137144435,1,2,2,0,1,0,0.29714789037489475,0.0,0.7028521095251052,0.15549715008509418,0.1174098668651576,0.7270929829497482,0.7028521095251052,0.8445028498149059
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,1.3307940443300983,1.0941795230143518,-0.23661452131574645,0,2,2,0,1,0,0.281778506986928,0.10564894149604574,0.6125725514170263,0.33688711284147177,0.23204625110270463,0.43106663595582356,0.718221492913072,0.6631128870585282
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.6340448293254111,0.6012074052744372,-0.032837424050973896,0,0,0,1,0,0,0.552066569559812,0.26182203135496496,0.18611139898522308,0.5591777488127622,0.28043709690003893,0.16038515418719915,0.44793343034018807,0.44082225108723805
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.6340448293254111,0.9823836443859477,0.34833881506053666,1,0,0,1,0,0,0.552066569559812,0.26182203135496496,0.18611139898522308,0.4212206759700091,0.17517500347403395,0.4036043204559569,0.44793343034018807,0.5787793239299909
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.9998841212293825,0.9042322068791667,-0.0956519143502158,0,0,0,1,0,0,0.44615238509289185,0.10781110838483375,0.4460365064222744,0.5478838964604167,0.0,0.45211610343958336,0.5538476148071081,0.45211610343958336
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.9380391216468178,0.9823836443859477,0.04434452273912992,1,0,0,0,0,0,0.3655145318785151,0.3309318143961519,0.303553653625333,0.4212206759700091,0.17517500347403395,0.4036043204559569,0.6344854680214849,0.5787793239299909
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,1.3467605661942452,1.6551619906099628,0.3084014244157176,1,2,2,0,1,0,0.13335819077100602,0.38652305206374266,0.4801187570652513,0.1153723709296591,0.11409326733071877,0.7705343616396221,0.866641809128994,0.8846276289703409
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.8071723104134667,1.098694137587497,0.2915218271740303,1,1,2,1,1,1,0.33643594351578804,0.5199558023549572,0.14360825402925476,0.2992258678435438,0.3028541265254152,0.39792000553104095,0.663564056384212,0.7007741320564562
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.019956419647337,0.9820767621561243,-0.03787965749121269,0,2,0,0,0,0,0.49002179007633145,0.0,0.5099782098236685,0.5089616188219379,0.0,0.49103838107806214,0.5099782098236685,0.49103838107806214
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.0808403476967534,1.442134951769128,0.36129460407237457,1,2,2,0,1,0,0.45957982605162334,0.0,0.5404201738483767,0.214423242028822,0.12901856397322814,0.6565581938979499,0.5404201738483767,0.7855767578711781
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,0.9586035956359883,1.2058230693369019,0.24721947370091357,1,0,2,0,1,0,0.4604130423820323,0.12057031939994715,0.4190166381180206,0.37464624991222945,0.044884430638639304,0.5804693193491313,0.5395869575179677,0.6253537499877706
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.1622204362238748,0.5696045863523439,-0.5926158498715309,0,2,0,0,0,0,0.2535013294261173,0.33077690472389054,0.41572176574999214,0.678882349653683,0.07263071414029022,0.24848693610602682,0.7464986704738827,0.32111765024631705
