lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost,lower_cum_p_gt0,higher_cum_p_gt0
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.3033586087970654,0.9570164268820098,-0.3463421819150556,0,2,0,0,0,0,0.3483206955014672,0.0,0.6516793043985327,0.5214917864589951,0.0,0.4785082134410049,0.6516793043985327,0.4785082134410049
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,1.645977001832583,1.1462187066587046,-0.4997582951738784,0,2,1,0,0,0,0.07285880026696497,0.2083053974334871,0.7188358021995479,0.15531557185597236,0.5431501494293507,0.30153427861467696,0.927141199633035,0.8446844280440277
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.5869287815612845,0.7714327988954226,0.18450401733413813,1,1,1,0,0,0,0.4327054464499371,0.5476603253388413,0.019634228111221556,0.36220862778707613,0.5041499453304252,0.13364142678249866,0.5672945534500629,0.6377913721129239
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.5869287815612845,0.9227287769436532,0.3357999953823687,1,1,1,0,0,0,0.4327054464499371,0.5476603253388413,0.019634228111221556,0.2508682046833821,0.5755348134895826,0.17359698172703528,0.5672945534500629,0.7491317952166179
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.20292905382017803,0.1306153539762315,-0.07231369984394653,0,0,0,1,0,0,0.898535472989911,0.0,0.10146452691008902,0.9346923229118842,0.0,0.06530767698811575,0.10146452691008902,0.06530767698811575
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.27220409841651,0.9227287769436532,-0.34947532147285676,0,2,1,0,0,0,0.2061499605413351,0.3154959803008199,0.478354059057845,0.2508682046833821,0.5755348134895826,0.17359698172703528,0.7938500393586649,0.7491317952166179
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,1.162571088467557,1.2324962075925354,0.06992511912497834,1,1,2,1,1,1,0.17151237684495282,0.49440415764253726,0.33408346541250994,0.3837518961037323,0.0,0.6162481037962677,0.8284876230550472,0.6162481037962677
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.7982212318996246,1.0430280462653023,0.24480681436567775,1,0,2,0,1,0,0.5120974608872835,0.17758384612580844,0.31031869288690805,0.47848597676734883,0.0,0.5215140231326512,0.4879025390127165,0.5215140231326512
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.5690137860552895,1.5370140046414194,-0.031999781413870165,0,2,2,0,1,0,0.020954674830463173,0.3890768640837842,0.5899684609857526,0.04254258043017046,0.3779008342982396,0.5795565851715899,0.9790453250695368,0.9574574194698295
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,0.41185238195703777,1.7703012631738666,1.358448881216829,1,0,2,0,1,0,0.7940738089214812,0.0,0.20592619097851889,0.05356832026711544,0.12256209609190248,0.823869583540982,0.20592619097851889,0.9464316796328845
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.5871029798481127,0.5764337293954174,-1.0106692504526953,0,2,0,0,0,0,0.13938669784146346,0.13412362426896032,0.7264896777895762,0.6561837200951547,0.11119883021427313,0.23261744959057215,0.8606133020585365,0.3438162798048453
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.7702849093686193,1.8474544363452887,0.07716952697666946,1,2,2,0,1,0,0.09115074209748816,0.04741360623640452,0.8614356515661074,0.06833477375946156,0.015876015935788152,0.9157892102047502,0.9088492578025119,0.9316652261405384
