lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost,lower_cum_p_gt0,higher_cum_p_gt0
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.4350632141707524,1.3394372166788469,-0.09562599749190559,0,2,2,0,1,0,0.2468960608656535,0.07114466389794068,0.6819592751364059,0.32266519260379056,0.01523239791357199,0.6621024093826374,0.7531039390343466,0.6773348072962094
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,1.4398887540039518,1.2392335946163777,-0.20065515938757406,0,2,2,0,1,0,0.2065149384543203,0.1470813688874075,0.6464036925582721,0.26361169218444896,0.23354302081472436,0.5028452869008266,0.7934850614456797,0.736388307715551
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.878426944736156,0.7577980511372248,-0.12062889359893125,0,0,0,1,0,0,0.38773150503315806,0.34611004499752795,0.26615844986931403,0.4394834330102206,0.36323508264233406,0.19728148424744535,0.612268494866842,0.5605165668897794
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.878426944736156,0.809622729103073,-0.06880421563308303,0,0,0,1,0,0,0.38773150503315806,0.34611004499752795,0.26615844986931403,0.44358269714865883,0.30321187639960934,0.2532054263517318,0.612268494866842,0.5564173027513412
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,1.444447879299541,1.4391211226697067,-0.005326756629834284,0,2,2,0,1,0,0.07140112651244775,0.4127498674755634,0.5158490059119888,0.069738843757829,0.4214011896146353,0.5088599665275357,0.9285988733875522,0.930261156142171
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.9678826056472668,0.809622729103073,-0.15825987654419382,0,0,0,0,0,0,0.4153319853352031,0.2014534234823269,0.38321459108246997,0.44358269714865883,0.30321187639960934,0.2532054263517318,0.5846680145647969,0.5564173027513412
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.9350183877039518,1.2191385497201312,0.2841201620161794,1,0,2,0,1,0,0.4403077295968233,0.18436615290240158,0.37532611740077515,0.33380637212533815,0.11324870582919229,0.5529449219454695,0.5596922703031767,0.6661936277746618
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.0667745924625869,1.074234271699239,0.007459679236652139,1,2,2,0,1,0,0.4303785910560461,0.0724682252253208,0.4971531836186331,0.4628828640503805,0.0,0.5371171358496195,0.5696214088439538,0.5371171358496195
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.2500693496824065,1.153079943889971,-0.09698940579243542,0,2,2,0,1,0,0.37496532505879676,0.0,0.6250346748412032,0.4234600279550145,0.0,0.5765399719449855,0.6250346748412032,0.5765399719449855
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.247524164664824,1.3708876980260902,0.12336353336126615,1,2,2,0,1,0,0.3432461620098162,0.0659835111155435,0.5907703267746403,0.3145561508869549,0.0,0.6854438490130451,0.6567538378901837,0.6854438490130451
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.0503227749744954,1.1715091841948453,0.12118640922034984,1,2,2,0,1,0,0.4748386124127523,0.0,0.5251613874872477,0.36066542979555877,0.10715995601403715,0.5321746140904041,0.5251613874872477,0.6393345701044413
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.3161787725510254,1.2514052792154942,-0.06477349333553128,0,2,2,0,1,0,0.3264597948535546,0.03090163754186551,0.6426385675045799,0.34693821633245403,0.05471828791959789,0.5983434956479481,0.6735402050464454,0.653061783567546
