lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost,lower_cum_p_gt0,higher_cum_p_gt0
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.2641639916793963,1.3113102202709663,0.04714622859157003,1,2,2,0,1,0,0.36615526959601113,0.003525468928581359,0.6303192613754075,0.34434488976451677,0.0,0.6556551101354832,0.6338447303039889,0.6556551101354832
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.9242120881795945,0.8066549136676961,-0.1175571745118984,0,0,0,1,0,0,0.49280557147910686,0.09017676866219171,0.4170176597587014,0.5673788603046112,0.05858736552308171,0.3740337740723072,0.5071944284208931,0.4326211395953889
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.9948804457178678,0.9049608531302383,-0.0899195925876295,0,0,0,1,0,0,0.4732411125092691,0.058637329063594,0.4681215583271369,0.5116250016856657,0.07178914329843024,0.41658585491590405,0.526758887390731,0.4883749982143343
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.9948804457178678,0.8756972113356318,-0.11918323438223599,0,0,0,1,0,0,0.4732411125092691,0.058637329063594,0.4681215583271369,0.540756680324282,0.04278942781580416,0.4164538917599138,0.526758887390731,0.45924331957571796
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.9984585108095354,1.0282465734153834,0.029788062605847987,1,0,2,1,1,1,0.4542859714034408,0.09296954618358305,0.45274448231297615,0.42824107995847743,0.11527126646766166,0.4564876534738609,0.5457140284965591,0.5717589199415225
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.8758056794350707,0.8756972113356318,-0.00010846809943887425,0,0,0,0,0,0,0.5377903423362452,0.048613635692438845,0.41359602187131594,0.540756680324282,0.04278942781580416,0.4164538917599138,0.46220965756375476,0.45924331957571796
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.9449931951278123,1.113435090535744,0.16844189540793164,1,0,2,0,1,0,0.48094710807479374,0.0931125885226002,0.42594030330260607,0.43318133420155147,0.020202240861153124,0.5466164248372954,0.5190528918252063,0.5668186656984485
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.0261798912919324,1.021587844269994,-0.004592047021938495,0,2,2,0,1,0,0.46680163629420673,0.04021683591965396,0.4929815276861393,0.4892060777650031,0.0,0.510793922134997,0.5331983636057932,0.510793922134997
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.1914920673598355,1.2042619149588298,0.012769847598994355,1,2,2,0,1,0,0.3937142146141445,0.021079503211875492,0.58520628207398,0.37710058218653897,0.041536920468092195,0.5813624972453688,0.6062857852858554,0.622899417713461
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.0181640377521455,1.150197726094204,0.13203368834205853,1,2,2,0,1,0,0.47288271605770815,0.03607052993243826,0.4910467539098536,0.424901136852898,0.0,0.575098863047102,0.5271172838422918,0.575098863047102
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.0520446862471664,1.0701775357722003,0.01813284952503391,1,2,2,0,1,0,0.4739776567764168,0.0,0.5260223431235832,0.4406714236130927,0.04847961680161433,0.510848959485293,0.5260223431235832,0.5593285762869072
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.1469692938435772,1.0432221761111602,-0.10374711773241696,0,2,2,0,1,0,0.41660368045902324,0.01982334503837643,0.5635729744026003,0.4474127706503758,0.06195228238808818,0.490634946861536,0.5833963194409768,0.5525872292496242
