lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost,lower_cum_p_gt0,higher_cum_p_gt0
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.290548476789007,1.3216162655910533,0.031067788802046303,1,2,2,0,1,0,0.3356534519486676,0.03814461911365767,0.6262019288376747,0.2639614422344923,0.1504608497399621,0.5855777079255455,0.6643465479513323,0.7360385576655076
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,1.2802407255241968,1.021966223683994,-0.25827450184020284,0,2,2,0,1,0,0.3598796371379016,0.0,0.6401203627620984,0.4538721920015534,0.07028939211289936,0.47583841578554725,0.6401203627620984,0.5461278078984466
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,1.0853126914902895,1.0613742498200438,-0.023938441670245725,0,2,2,0,1,0,0.325272814585397,0.2641416791389167,0.4105855061756864,0.3409679491366073,0.25668985170674175,0.40234219905665103,0.6747271853146031,0.6590320507633928
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,1.0853126914902895,1.0738970208139165,-0.011415670676373058,0,2,2,0,1,0,0.325272814585397,0.2641416791389167,0.4105855061756864,0.3409223579981073,0.24425826298986905,0.4148193789120237,0.6747271853146031,0.6590776419018928
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,1.376901299687158,1.342946239337135,-0.033955060350022936,0,2,2,0,1,0,0.09666967044061767,0.4297593592316068,0.4735709702277755,0.11365312087066907,0.42974751872152694,0.456599360307804,0.9033303294593823,0.886346879029331
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.1027458513979786,1.0738970208139165,-0.02884883058406218,0,2,2,0,1,0,0.340848190199045,0.21555776800393125,0.4435940416970237,0.3409223579981073,0.24425826298986905,0.4148193789120237,0.659151809700955,0.6590776419018928
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.9477818978632229,1.0057982928362383,0.05801639497301547,1,0,2,0,1,0,0.5067801056181653,0.038657890700446514,0.45456200358138815,0.48150637598841345,0.03118895498693469,0.48730466892465185,0.49321989428183466,0.5184936239115865
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.092389904921815,1.172223629869819,0.07983372494800389,1,2,2,0,1,0,0.3933330847080321,0.12094392546212061,0.4857229897298473,0.41388818496509044,0.0,0.5861118149349095,0.6066669151919679,0.5861118149349095
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.1650935744074697,1.17364064503485,0.008547070627380249,1,2,2,0,1,0,0.4150404429183151,0.004825539555900098,0.5801340174257849,0.41110599989400437,0.004147354977141181,0.5847466450288544,0.584959556981685,0.5888940000059956
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.3585658042604047,1.3000305981154578,-0.058535206144946894,0,2,2,0,1,0,0.28905347208428445,0.06332725137102634,0.6476192764446892,0.34998470084227107,0.0,0.6500152990577289,0.7109465278157155,0.6500152990577289
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.1222805943936496,1.0577391389251949,-0.06454145546845469,0,2,2,0,1,0,0.42640858682906563,0.024902231748219268,0.5486891813227152,0.4711304304374026,0.0,0.5288695694625974,0.5735914130709344,0.5288695694625974
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.072206413323734,0.9272072152807856,-0.14499919804294825,0,2,0,0,0,0,0.4368350755349293,0.0541234354064074,0.5090414889586633,0.5142566890660986,0.04427940638701734,0.44146390444688416,0.5631649243650707,0.4857433108339015
