lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost,lower_cum_p_gt0,higher_cum_p_gt0
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,0.5400774330575245,1.6614180140366686,1.121340580979144,1,0,2,1,1,1,0.7299612833712377,0.0,0.27003871652876227,0.16929099288166574,0.0,0.8307090070183343,0.27003871652876227,0.8307090070183343
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.03254707692935833,0.0003662488969601891,-0.03218082803239814,0,0,0,1,0,0,0.9674543919433581,0.03254413898392528,1.4689727165213695e-06,0.9996343537109581,0.0003650434811235366,6.027079183262558e-07,0.032545607956641805,0.00036564618904186285
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.8473224184981696,1.0194648261160002,0.17214240761783062,1,1,1,0,0,0,0.17003786033138063,0.8126018606390691,0.017360278929550194,0.135902061275216,0.7087310511335679,0.1553668874912161,0.8299621395686193,0.864097938624784
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.8473224184981696,0.5525026136373657,-0.29481980486080384,0,1,1,0,0,0,0.17003786033138063,0.8126018606390691,0.017360278929550194,0.45773630187064474,0.5320247824213449,0.010238915608010445,0.8299621395686193,0.5422636980293554
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,1.9238300218543816,1.9872757221259825,0.0634457002716009,1,2,2,0,1,0,2.9645028617830483e-06,0.07616404893989487,0.9238329864572433,4.197813449093751e-06,0.012715882047119214,0.9872799200394317,0.9999970353971381,0.9999958020865509
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.9498235480784045,0.5525026136373657,-0.3973209344410388,0,1,1,1,0,0,0.060112878191209154,0.9299506953391772,0.00993642636961368,0.45773630187064474,0.5320247824213449,0.010238915608010445,0.9398871217087909,0.5422636980293554
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,1.8265831963457813,1.8994521468400418,0.07286895049426056,1,2,2,0,1,0,0.08670840172710936,0.0,0.9132915981728906,0.05027392647997911,0.0,0.9497260734200209,0.9132915981728906,0.9497260734200209
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.0249477110765117,0.5510065257090054,-0.4739411853675063,0,1,0,1,0,0,0.19139936423376877,0.5922535602559507,0.21634707541028053,0.5004497706545875,0.4480939327818195,0.05145629646359296,0.8086006356662312,0.4995502292454125
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.5344389420642595,1.9139366411555958,0.37949769909133635,1,2,2,0,1,0,0.03090180513620512,0.40375744746333014,0.5653407473004647,0.009082599055106347,0.06789816053419148,0.9230192403107021,0.9690981947637949,0.9909174008448937
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,0.3228970559132341,0.3342617670359006,0.011364711122666515,1,0,0,0,0,0,0.7234405907225752,0.2302217624416157,0.04633764673580919,0.7267826824492039,0.21217286786569148,0.06104444958510457,0.2765594091774249,0.273217317450796
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.1960104487956342,0.996484332483507,-0.19952611631212724,0,1,1,1,0,0,0.124753374572408,0.5544828018595496,0.3207638234680424,0.008666069392622855,0.9861835285312475,0.0051504019761297384,0.8752466253275919,0.9913339305073772
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,0.6476539297146868,0.8366481386248635,0.1889942089101767,1,0,1,0,0,0,0.551859929655694,0.24862621077392527,0.19951385947038075,0.28999265569290367,0.5833665497893292,0.12664079441776716,0.448140070244306,0.7100073442070964
