lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost,lower_cum_p_gt0,higher_cum_p_gt0
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.5412265751886334,1.6641565947122103,0.12293001952357696,1,2,2,0,1,0,0.22938671230568328,0.0,0.7706132875943167,0.10881087888664197,0.11822164731450573,0.7729674736988523,0.7706132875943167,0.891189121013358
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.5077633774913708,0.48570465638093935,-0.022058721110431445,0,0,0,1,0,0,0.6961395356452998,0.0999575510180295,0.20390291323667067,0.7490781869131218,0.016138969592817055,0.23478284339406114,0.30386046425470015,0.2509218129868782
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.9115448665807501,0.9336150351308257,0.022070168550075597,1,0,0,1,0,0,0.4682676091853084,0.15191991484863318,0.37981247586605843,0.47452697256438725,0.11733101954039983,0.4081420077952129,0.5317323907146916,0.5254730273356127
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.9115448665807501,0.9452612863184928,0.03371641973774275,1,0,0,1,0,0,0.4682676091853084,0.15191991484863318,0.37981247586605843,0.4551471054830629,0.14444450251538132,0.40040839190155575,0.5317323907146916,0.5448528944169371
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.8577284497370892,0.9663133947384748,0.1085849450013856,1,0,0,1,0,0,0.5470372083788486,0.04819713330521368,0.40476565821593774,0.5086153312560504,0.01645594254942432,0.47492872609452524,0.45296279152115143,0.4913846686439496
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.7796212657598581,0.9452612863184928,0.1656400205586347,1,0,0,0,0,0,0.5951810750615298,0.030016583917082226,0.374802340921388,0.4551471054830629,0.14444450251538132,0.40040839190155575,0.4048189248384702,0.5448528944169371
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,1.0270193468761744,1.0805462089760494,0.053526862099875006,1,2,2,0,1,0,0.36552486951708923,0.24193091388964721,0.39254421649326354,0.3755917838461379,0.16827022313167492,0.4561379929221872,0.6344751303829108,0.6244082160538621
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.043685143234627,1.0818440632386053,0.03815892000397825,1,2,2,0,1,0,0.3582349213827974,0.23984501379977805,0.40192006471742453,0.4590779682806974,0.0,0.5409220316193026,0.6417650785172025,0.5409220316193026
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.338896423376186,1.552817585246051,0.2139211618698651,1,2,2,0,1,0,0.2975411668421522,0.06602124273950964,0.6364375903183381,0.1561916187107586,0.1347991771324317,0.7090092040568097,0.7024588330578477,0.8438083811892414
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.0973321948743704,1.389218513655054,0.2918863187806837,1,2,2,0,1,0,0.45133390246281474,0.0,0.5486660974371852,0.305390743072473,0.0,0.694609256827527,0.5486660974371852,0.694609256827527
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,0.9457930797269027,0.8485636867407516,-0.09722939298615119,0,0,0,0,0,0,0.5271034600365486,0.0,0.47289653986345137,0.45367415909339176,0.24408799487246485,0.3022378459341434,0.47289653986345137,0.5463258408066083
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.2416125996218645,1.311596550918119,0.06998395129625457,1,2,2,0,1,0,0.3100399616575418,0.1383074768630521,0.5516525613794062,0.3442017244409404,0.0,0.6557982754590596,0.6899600382424583,0.6557982754590596
