lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost,lower_cum_p_gt0,higher_cum_p_gt0
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.0284824958333012,0.6673343437750129,-0.3611481520582883,0,2,0,0,0,0,0.48575875198334945,0.0,0.5142412479166506,0.6663328280124936,0.0,0.33366717188750644,0.5142412479166506,0.33366717188750644
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,1.0180257911006554,0.7453539760397911,-0.27267181506086424,0,1,1,0,0,0,0.09573546080458674,0.7905032870901711,0.11376125200524216,0.26414902632316356,0.7263479711138818,0.009503002462954649,0.9042645390954133,0.7358509735768365
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.42693600995536973,0.6200366206286018,0.19310061067323203,1,0,1,1,0,0,0.5973849653948835,0.37829405905486313,0.024320975450253288,0.3984210515171157,0.5831212761371668,0.01845767224571749,0.40261503450511643,0.6015789483828843
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.42693600995536973,0.42121643780653323,-0.005719572148836505,0,0,0,1,0,0,0.5973849653948835,0.37829405905486313,0.024320975450253288,0.6108010415935227,0.3571814788064214,0.032017479500055894,0.40261503450511643,0.3891989583064773
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,1.656716743795907,1.7352897152315439,0.0785729714356369,1,2,2,0,1,0,0.01573976875112447,0.3118037185018441,0.6724565126470314,0.026748401592971226,0.2112134813825137,0.7620381169245151,0.9842602311488755,0.9732515983070288
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.7738786229101381,0.42121643780653323,-0.35266218510360486,0,1,0,1,0,0,0.2906709231550595,0.644779530579743,0.06454954616519752,0.6108010415935227,0.3571814788064214,0.032017479500055894,0.7093290767449405,0.3891989583064773
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,1.5253101825502355,1.3842639048059173,-0.14104627774431822,0,2,2,0,1,0,0.12866031036896186,0.21736919651184075,0.6539704930191974,0.30786804749704133,0.0,0.6921319524029587,0.8713396895310381,0.6921319524029587
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.7471035768881444,0.778888108013207,0.03178453112506252,1,0,0,0,0,0,0.45981816823758476,0.33326008643668603,0.2069217452257292,0.5713496271218982,0.07841263754299667,0.35023773523510515,0.5401818316624152,0.4286503727781018
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.5731712802675097,1.6603985826346874,0.08722730236717768,1,2,2,0,1,0,0.041060415026111914,0.34470788948026626,0.6142316953936218,0.07749453256142504,0.18461235204246262,0.7378931152961123,0.958939584873888,0.922505467338575
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,0.24862644432333147,1.4258013266855725,1.177174882362241,1,0,2,0,1,0,0.8756867777383343,0.0,0.12431322216166574,0.28709933655721376,0.0,0.7129006633427862,0.12431322216166574,0.7129006633427862
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,0.8326613550568124,1.7897334314202886,0.9570720763634762,1,0,2,0,1,0,0.5082050418104407,0.1509285611223065,0.34086639696725296,0.07550298416934687,0.0592606000410175,0.8652364156896356,0.4917949580895594,0.9244970157306531
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.4193841114012147,1.18118971599277,-0.23819439540844467,0,2,1,0,0,0,0.12165069828655103,0.3373144918256832,0.5410348097877657,0.16716907742522763,0.4844721289567748,0.34835879351799764,0.8783493016134489,0.8328309224747724
