lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost,lower_cum_p_gt0,higher_cum_p_gt0
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.3080746388522724,1.256444361358487,-0.05163027749378535,0,2,2,0,1,0,0.2916022251093068,0.10872091072911393,0.5996768640615793,0.37177781922075653,0.0,0.6282221806792435,0.7083977747906932,0.6282221806792435
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,1.1138005156700337,0.8554379332544317,-0.25836258241560195,0,2,0,0,0,0,0.4130635101320372,0.06007246386589199,0.5268640259020708,0.49066895474978495,0.16322415704599832,0.3461068881042167,0.5869364897679628,0.509331045150215
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,1.3705838514766744,0.8564132001811708,-0.5141706512955035,0,2,0,0,0,0,0.24801874124101891,0.13337866584128769,0.6186025928176934,0.4555469164608008,0.23249296669722758,0.31196011674197166,0.751981258658981,0.5444530834391992
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,1.3705838514766744,1.2693386802674795,-0.10124517120919485,0,2,2,0,1,0,0.24801874124101891,0.13337866584128769,0.6186025928176934,0.24232023943451533,0.24602084066348995,0.5116589198019947,0.751981258658981,0.7576797604654847
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.8153416182010258,1.1206235353204126,0.3052819171193868,1,0,2,1,1,1,0.47191639101607724,0.2408255995668197,0.28725800931710305,0.3176075747608513,0.24416131495788496,0.43823111018126376,0.5280836088839227,0.6823924251391487
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.056606447346915,1.2693386802674795,0.21273223292056453,1,2,2,0,1,0,0.32311450227567656,0.2971645479017318,0.3797209497225916,0.24232023943451533,0.24602084066348995,0.5116589198019947,0.6768854976243235,0.7576797604654847
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.9399598794046459,1.3956424438019448,0.45568256439729893,1,0,2,0,1,0,0.47505030808236676,0.10993950423062052,0.4150101875870127,0.278857842607813,0.04664187078242918,0.6745002865097578,0.5249496918176332,0.721142157292187
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.2641659573358826,1.4770384245215813,0.21287246718569874,1,2,2,0,1,0,0.2806875512202278,0.17445894002366183,0.5448535086561104,0.26148078763920934,0.0,0.7385192122607906,0.7193124486797722,0.7385192122607906
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.241943081068464,1.4316624719648625,0.18971939089639855,1,2,2,0,1,0,0.31384411097725956,0.13036869677701682,0.5557871921457236,0.27502819343449597,0.018281140966145616,0.7066906654993584,0.6861558889227404,0.7249718064655041
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.249138881026466,1.6377870118070474,0.38864813078058136,1,2,2,0,1,0,0.37543055938676695,0.0,0.624569440513233,0.1708981917706615,0.020416604451629555,0.8086852036777089,0.624569440513233,0.8291018081293384
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.1236847044380978,1.1183146902963637,-0.005370014141734103,0,2,2,0,1,0,0.43815764768095106,0.0,0.5618423522190489,0.37448369612188614,0.132717917259864,0.4927983865182498,0.5618423522190489,0.6255163037781138
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,0.959775493715634,1.4068317776094497,0.4470562838938157,1,0,2,0,1,0,0.4184860374458819,0.20325243119260228,0.37826153126151585,0.29658411109527516,0.0,0.7034158888047248,0.5815139624541181,0.7034158888047248
