lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost,lower_cum_p_gt0,higher_cum_p_gt0
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.3845251352242793,1.3167725385690625,-0.06775259665521682,0,2,2,0,1,0,0.2785598887042154,0.05835508716728981,0.6630850240284948,0.30518127534384953,0.07286491054323842,0.621953814012912,0.7214401111957846,0.6948187245561505
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,1.2214517226319548,1.066581668348786,-0.1548700542831687,0,2,2,0,1,0,0.30216137354380324,0.17422553008043867,0.523613096275758,0.3582536540023694,0.21691102344647517,0.42483532245115546,0.6978386263561966,0.6417463458976307
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,1.1254640104865468,1.05114379233396,-0.07432021815258683,0,2,2,0,1,0,0.3094201071348621,0.255695775043729,0.43488411772140884,0.35000953553428654,0.24883713639746696,0.4011533279682465,0.6905798927651379,0.6499904643657135
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,1.1254640104865468,1.1223889705961385,-0.0030750398904082488,0,2,2,0,1,0,0.3094201071348621,0.255695775043729,0.43488411772140884,0.3387126985504734,0.20018563210291454,0.461101669246612,0.6905798927651379,0.6612873013495265
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,1.5708525333566403,1.5608482518356792,-0.010004281520961111,0,2,2,0,1,0,0.09335749303250185,0.2424324803783561,0.6642100264891421,0.09626601108070856,0.24661972580290367,0.6571142630163878,0.9066425068674981,0.9037339888192915
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.2257615829814088,1.1223889705961385,-0.10337261238527029,0,2,2,0,1,0,0.32955408800737296,0.11513024080384525,0.5553156710887818,0.3387126985504734,0.20018563210291454,0.461101669246612,0.670445911892627,0.6612873013495265
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.8381800357466336,0.9776613119618187,0.13948127621518513,1,0,0,0,0,0,0.5178709561349262,0.126078051783514,0.3560509919815598,0.4817800547658424,0.05877857830649646,0.4594413668276611,0.4821290437650738,0.5182199451341576
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.1869354951944708,1.1796937412684612,-0.007241753926009675,0,2,2,0,1,0,0.3661413557068909,0.08078179319174741,0.5530768510013617,0.40435855635906937,0.011589145813400028,0.5840522977275305,0.6338586441931091,0.5956414435409305
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.1695970073092585,1.1039590422392336,-0.06563796507002495,0,2,2,0,1,0,0.4096767475477915,0.011049497395158647,0.5792737549570499,0.4480204787803832,0.0,0.5519795211196168,0.5903232523522086,0.5519795211196168
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.3980044149826139,1.37092626204916,-0.027078152933453836,0,2,2,0,1,0,0.2702595938498584,0.06147639711766939,0.6682640089324722,0.31453686887542004,0.0,0.68546313102458,0.7297404060501416,0.68546313102458
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,0.9851099045215711,1.10147591282768,0.11636600830610899,1,0,2,0,1,0,0.5074450476392145,0.0,0.49255495226078555,0.4190743136006843,0.060375459770951226,0.5205502265283645,0.49255495226078555,0.5809256862993157
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.1401523008740424,1.2311283919305922,0.0909760910565498,1,2,2,0,1,0,0.38669925224836377,0.08644919442922999,0.5268515532224062,0.3573059490599961,0.05425970974941565,0.5884343410905882,0.6133007476516361,0.6426940508400039
