lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost,lower_cum_p_gt0,higher_cum_p_gt0
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.2675422822183215,1.2557477470587373,-0.011794535159584285,0,2,2,0,1,0,0.33439735663836173,0.06366300430495492,0.6019396389566833,0.35960455134976943,0.025043150041723986,0.6153522985085066,0.6656026432616382,0.6403954485502306
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.9800744677298313,0.8475459458969173,-0.13252852183291397,0,0,0,1,0,0,0.5077477497075594,0.004430032655049907,0.4878222175373907,0.5364518301110547,0.07955039368097326,0.38399777610797203,0.4922522501924406,0.4635481697889453
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.9525738902616577,0.8196249190879865,-0.13294897117367122,0,1,0,0,0,0,0.34188180172704563,0.363662506084251,0.29445569208870337,0.39790943218772157,0.3845562163365703,0.21753435137570812,0.6581181981729544,0.6020905677122784
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.9525738902616577,0.9533779783898724,0.0008040881282146417,1,1,0,0,0,0,0.34188180172704563,0.363662506084251,0.29445569208870337,0.3537524724278217,0.33911707655448414,0.30713045091769414,0.6581181981729544,0.6462475274721783
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,1.085485662879595,1.1026292772626776,0.01714361438308254,1,2,2,0,1,0,0.3034312883731863,0.30765176017403245,0.38891695135278126,0.29887492711783453,0.29962086830165346,0.401504204480512,0.6965687115268138,0.7011250727821654
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.9742616123184893,0.9533779783898724,-0.020883633928616918,0,0,0,0,0,0,0.3679057657822995,0.2899268559169117,0.3421673782007888,0.3537524724278217,0.33911707655448414,0.30713045091769414,0.6320942341177005,0.6462475274721783
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.8861430204252366,1.075430044127865,0.1892870237026284,1,0,2,0,1,0,0.5053843471176391,0.10308828513948502,0.3915273676428758,0.4427482954419443,0.03907336478824639,0.5181783396698093,0.49461565278236086,0.5572517044580557
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.1091854422455876,1.0895613874903693,-0.019624054755218223,0,2,2,0,1,0,0.4214874351826291,0.04783968718915419,0.5306728775282167,0.4552193061548153,0.0,0.5447806937451847,0.5785125647173709,0.5447806937451847
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.0925665575988006,1.0872555397884422,-0.005311017810358365,0,2,2,0,1,0,0.4525755254735594,0.002282391254080718,0.5451420831723599,0.4488981721413598,0.014948115728838245,0.536153712029802,0.5474244744264406,0.5511018277586403
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.0834207232585866,1.0920867339158762,0.008666010657289558,1,2,2,0,1,0,0.45552851269846245,0.005522251144488677,0.5389492360570489,0.4539566329420619,0.0,0.5460433669579381,0.5444714872015376,0.5460433669579381
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.0782144596989884,1.1928867341589893,0.11467227446000083,1,2,2,0,1,0,0.4608927700505057,0.0,0.5391072298494942,0.37788107217280875,0.0513511212953931,0.5707678064317981,0.5391072298494942,0.6221189277271912
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.1458981614648465,1.2441836796809584,0.09828551821611198,1,2,2,0,1,0,0.4170934762536043,0.01991488582794479,0.5629916378184509,0.370959085643709,0.01389814883162362,0.6151427654246674,0.5829065236463956,0.629040914256291
