lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost,lower_cum_p_gt0,higher_cum_p_gt0
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.4179450074873023,1.2422491632500585,-0.17569584423724383,0,2,2,0,1,0,0.29102749615634876,0.0,0.7089725037436512,0.3788754182749708,0.0,0.6211245816250293,0.7089725037436512,0.6211245816250293
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,1.0004233300349559,0.8900799911265692,-0.11034333890838666,0,1,1,0,0,0,0.13989580142645663,0.719785066912131,0.1403191315614124,0.18321959160892604,0.7434808254555787,0.07329958283549524,0.8601041984735434,0.8167804082910739
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.7782801424237173,0.9039321061944087,0.12565196377069132,1,1,1,0,0,0,0.22971313826688908,0.7622935808425045,0.007993280790606407,0.10571243980574938,0.8846430139940925,0.009644546100158101,0.770286861633111,0.8942875600942506
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.7782801424237173,0.7575847499309688,-0.020695392492748543,0,1,1,0,0,0,0.22971313826688908,0.7622935808425045,0.007993280790606407,0.25220287734601143,0.7380094951770082,0.009787627376980313,0.770286861633111,0.7477971225539886
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,1.8954333258280758,1.8860774842952446,-0.0093558415328312,0,2,2,0,1,0,0.03915864284657877,0.026249388278766512,0.9345919687746547,0.05357632193552539,0.006769871633704599,0.93965380633077,0.9608413570534212,0.9464236779644746
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.9032050511932154,0.7575847499309688,-0.14562030126224657,0,1,1,1,0,0,0.12363306167742241,0.8495288252519397,0.026838112970637838,0.25220287734601143,0.7380094951770082,0.009787627376980313,0.8763669382225776,0.7477971225539886
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.9224930240115752,1.015442628348945,0.09294960433736987,1,0,2,0,1,0,0.3677091095367151,0.34208875671499467,0.29020213364829023,0.4922786857255274,0.0,0.5077213141744725,0.6322908903632849,0.5077213141744725
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.0014220129166507,0.6487735182031587,-0.352648494713492,0,1,0,1,0,0,0.2976678234489873,0.40324233998537484,0.29908983646563786,0.6232489883662465,0.10472850486434837,0.27202250666940514,0.7023321764510126,0.3767510115337535
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.6144420141741622,1.5346099701851192,-0.07983204398904298,0,2,2,0,1,0,0.17490826648161104,0.03574145266261563,0.7893502807557733,0.1942124780903347,0.07696507343421133,0.728822448375454,0.8250917334183889,0.8057875218096653
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,0.7634208034918647,0.8492080925108252,0.08578728901896049,1,0,0,0,0,0,0.5516841689014432,0.13321085850524875,0.315104972493308,0.5753959536445873,0.0,0.4246040462554126,0.44831583099855676,0.4246040462554126
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.377800991066069,1.2406629636163635,-0.13713802744970538,0,2,2,0,1,0,0.226908658189209,0.16838169235551306,0.6047096493552779,0.3573427289806496,0.04465157822233728,0.5980056926970131,0.773091341710791,0.6426572709193503
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.131495414196272,1.0893242777205725,-0.04217113647569959,0,1,1,1,0,0,0.19584286488468244,0.47681885583436295,0.3273382791809546,0.12078939623080572,0.6690969296178162,0.21011367405137812,0.8041571350153176,0.8792106036691943
