lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost,lower_cum_p_gt0,higher_cum_p_gt0
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.2530085364581922,1.6319517455082815,0.37894320905008927,1,2,2,0,1,0,0.29392683803603015,0.1591377872697473,0.5469353745942225,0.18402412714585922,0.0,0.8159758727541407,0.7060731618639697,0.8159758727541407
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.9944129659798235,1.0443369103035713,0.049923944323747804,1,0,2,1,1,1,0.4907211299381096,0.024144773943957178,0.48513409601793317,0.47783154474821427,0.0,0.5221684551517857,0.5092788699618903,0.5221684551517857
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,1.103810901854571,0.8862539943588651,-0.2175569074957059,0,1,1,0,0,0,0.2614699721074498,0.37324915373052936,0.3652808740620208,0.3710396819116887,0.37166664161775753,0.2572936763705538,0.7385300277925502,0.6289603179883113
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,1.103810901854571,0.9474631758850603,-0.15634772596951063,0,1,1,0,0,0,0.2614699721074498,0.37324915373052936,0.3652808740620208,0.3309919675029265,0.3905528889090867,0.27845514348798683,0.7385300277925502,0.6690080323970735
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,1.0839044000084324,1.0399412479210952,-0.04396315208733714,0,2,2,0,1,0,0.3478464083147893,0.220402783161989,0.4317508084232217,0.39557658796774514,0.16890557594341446,0.4355178359888404,0.6521535915852107,0.6044234119322549
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.1868465529902228,0.9474631758850603,-0.23938337710516244,0,2,1,0,0,0,0.28589728871699877,0.2413588693757797,0.4727438418072215,0.3309919675029265,0.3905528889090867,0.27845514348798683,0.7141027111830012,0.6690080323970735
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.8788254147820476,0.8620878918788095,-0.016737522903238045,0,0,0,0,0,0,0.38499798985261763,0.3511786053127172,0.26382340473466515,0.411085321563221,0.3157414647947485,0.2731732135420305,0.6150020100473823,0.588914678336779
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.1439935151539546,1.0131749367761274,-0.1308185783778273,0,2,2,0,1,0,0.29130119553448686,0.2734040935770716,0.4352947107884415,0.45193243547032297,0.08296019208322676,0.4651073723464503,0.7086988043655131,0.5480675644296771
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.1753235365261265,1.3991111261818727,0.2237875896557462,1,2,2,0,1,0,0.41233823163693667,0.0,0.5876617682630633,0.2878428144071258,0.025203244803875695,0.6869539406889985,0.5876617682630633,0.7121571854928742
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.1404952164507562,1.3796973810157882,0.23920216456503196,1,2,2,0,1,0,0.4101946132877348,0.039115556773774186,0.550689829838491,0.31015130939210583,0.0,0.6898486905078941,0.5898053866122652,0.6898486905078941
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.2412713360125454,1.30213062523681,0.060859289224264534,1,2,2,0,1,0,0.3791776365196394,0.000373390748175626,0.6204489726321849,0.3124406410394263,0.07298809248433737,0.6145712663762363,0.6208223633803606,0.6875593588605736
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.4361570893240057,1.2828779083629334,-0.1532791809610723,0,2,2,0,1,0,0.2583219489671101,0.04719901254177426,0.6944790383911157,0.3343153245458736,0.048491442345319415,0.617193233008807,0.74167805093289,0.6656846753541265
