lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost,lower_cum_p_gt0,higher_cum_p_gt0
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.4386474505469422,1.575275948436705,0.13662849788976272,1,2,2,0,1,0,0.27235264652506536,0.016647256202927004,0.7110000971720076,0.21236202568164755,0.0,0.7876379742183525,0.7276473533749346,0.7876379742183525
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.5291055848420152,0.5641159829915974,0.03501039814958218,1,0,0,1,0,0,0.5894259373871873,0.29204254018361014,0.11853152232920255,0.5567341122844693,0.32241579223946387,0.12085009537606675,0.4105740625128127,0.44326588761553065
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.8590224724333022,0.8638165130779115,0.00479404064460931,1,0,0,1,0,0,0.39393626767808315,0.3531049920105315,0.2529587402113853,0.39722919400233675,0.34172509871741497,0.2610457071802483,0.6060637322219169,0.6027708058976633
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.8590224724333022,1.1222988945109713,0.2632764220776691,1,0,2,1,1,1,0.39393626767808315,0.3531049920105315,0.2529587402113853,0.3617677832835526,0.1541655387219235,0.4840666778945239,0.6060637322219169,0.6382322166164474
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,1.1561819869167869,1.152649737183958,-0.0035322497328289515,0,2,2,0,1,0,0.42190900644160656,0.0,0.5780909934583934,0.4236751313080211,0.0,0.576324868591979,0.5780909934583934,0.576324868591979
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.1585810811568056,1.1222988945109713,-0.03628218664583427,0,2,2,0,1,0,0.42070945932159715,0.0,0.5792905405784028,0.3617677832835526,0.1541655387219235,0.4840666778945239,0.5792905405784028,0.6382322166164474
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.6090443829764911,0.8013436357180809,0.19229925274158977,1,0,0,0,0,0,0.5324777751333266,0.32600006655685576,0.1415221582098177,0.5828563442169494,0.032943675648020365,0.38419998003503025,0.4675222247666735,0.4171436556830506
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.227629795389647,0.9572341906188295,-0.27039560477081737,0,2,0,0,0,0,0.19231255468610145,0.38774509503815,0.4199423501757485,0.5213829045905852,0.0,0.47861709530941476,0.8076874452138985,0.47861709530941476
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,0.9847681562242271,1.1336217932389243,0.14885363701469723,1,0,2,0,1,0,0.47794975764730063,0.05933232828117154,0.4627179139715278,0.3673551830791826,0.13166784040271054,0.5009769764181069,0.5220502422526994,0.6326448168208174
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.3680132346257246,1.4112225399888865,0.04320930536316192,1,2,2,0,1,0,0.3150369311583642,0.0019129028575471951,0.6830501658840886,0.29438872990555676,0.0,0.7056112699944432,0.6849630687416358,0.7056112699944432
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.1997907575872133,1.2672760305135367,0.06748527292632334,1,2,2,0,1,0,0.40010462110639333,0.0,0.5998953787936067,0.2671376486160899,0.19844867205428365,0.5344136792296265,0.5998953787936067,0.7328623512839101
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.220160446903529,1.2975432652760388,0.07738281837250982,1,2,2,0,1,0,0.38991977644823556,0.0,0.6100802234517645,0.35122836726198053,0.0,0.6487716326380194,0.6100802234517645,0.6487716326380194
