lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost,lower_cum_p_gt0,higher_cum_p_gt0
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.278740719304953,1.229269591472595,-0.04947112783235785,0,2,2,0,1,0,0.3169087067020847,0.08744186709087769,0.5956494261070376,0.34513053851358544,0.080469331300234,0.5744001300861805,0.6830912931979153,0.6548694613864146
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.9416348796412021,0.8759686121193991,-0.06566626752180293,0,0,0,1,0,0,0.5016613235142262,0.05504247313034556,0.44329620325542823,0.5155607615417792,0.09290986459704245,0.39152937376117836,0.4983386763857738,0.4844392383582208
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.955764142461559,0.9234284076145656,-0.03233573484699348,0,0,0,1,0,0,0.3799642600707119,0.284307337197017,0.33572840263227105,0.37521492044042376,0.32614175130458695,0.2986433281549893,0.6200357398292881,0.6247850794595762
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.955764142461559,0.9710636874039209,0.015299544942361853,1,0,0,1,0,0,0.3799642600707119,0.284307337197017,0.33572840263227105,0.3775855458046934,0.2737652207866922,0.34864923330861436,0.6200357398292881,0.6224144540953065
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.9902596772273287,1.018345901955308,0.028086224727979392,1,0,2,1,1,1,0.3474389575294521,0.31486240751376715,0.33769863485678075,0.33729949494034267,0.30705510796400665,0.3556453969956507,0.6525610423705479,0.6627005049596573
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.9911851882297387,0.9710636874039209,-0.020121500825817762,0,0,0,0,0,0,0.4159596632221607,0.17689548512593997,0.40714485155189933,0.3775855458046934,0.2737652207866922,0.34864923330861436,0.5840403366778393,0.6224144540953065
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.8202631672420801,0.9640855846896798,0.1438224174475996,1,0,0,0,0,0,0.5193081011639992,0.14112063022992152,0.3395712685060793,0.4723636176918831,0.09118717972655398,0.4364492024815629,0.4806918987360008,0.5276363822081168
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.1066892395748313,1.0965173674930462,-0.01017187208178516,0,2,2,0,1,0,0.41114982046077087,0.07101111930362679,0.5178390601356023,0.4510956648463823,0.0012913026141890714,0.5476130324394286,0.5888501794392291,0.5489043350536177
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.0568263420890311,1.054952555086302,-0.0018737870027292214,0,2,2,0,1,0,0.4693812561892061,0.004411145332556465,0.5262075983782374,0.4629526137521945,0.019142217209309,0.5179051689384965,0.5306187437107939,0.5370473861478055
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.1112093850994067,1.1452639074623612,0.034054522362954476,1,2,2,0,1,0,0.41486873488032455,0.05905314493994425,0.5260781200797312,0.4273680461688194,0.0,0.5726319537311806,0.5851312650196755,0.5726319537311806
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.0808509783671176,1.1753646138695992,0.0945136355024816,1,2,2,0,1,0,0.4550361026994192,0.009076816034044125,0.5358870811665367,0.4106208645081199,0.0033936569141608548,0.5859854784777192,0.5449638972005808,0.58937913539188
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.0383648978037225,1.1314718417054235,0.09310694390170093,1,2,2,0,1,0,0.45826502425290777,0.045105053490461955,0.49662992215663027,0.41160086206512425,0.04532643396432818,0.5430727038705476,0.5417349756470922,0.5883991378348759
