lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost,lower_cum_p_gt0,higher_cum_p_gt0
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.3822825709866713,1.2687441462818938,-0.11353842470477749,0,2,2,0,1,0,0.24057780154996075,0.13656182571340725,0.622860372636632,0.36562792675905303,0.0,0.6343720731409469,0.7594221983500392,0.6343720731409469
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.19305591484077567,0.04531304195955934,-0.14774287288121632,0,0,0,1,0,0,0.821146334909211,0.1646514151408024,0.01420224984998663,0.9619330939736161,0.030820769893208432,0.007246136033175454,0.17885366499078903,0.038066905926383884
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.5557857189892902,0.7286710092136162,0.17288529022432597,1,1,1,0,0,0,0.47729419583230875,0.4896258891460922,0.03307991492159902,0.31411879135816234,0.6430914078700594,0.04278980067177838,0.5227058040676912,0.6858812085418378
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.5557857189892902,0.6262109979398138,0.07042527895052364,1,1,1,0,0,0,0.47729419583230875,0.4896258891460922,0.03307991492159902,0.41471299297694625,0.5443630159062935,0.040923991016760156,0.5227058040676912,0.5852870069230537
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,1.0856713339666775,0.9860119498061314,-0.0996593841605461,0,2,0,0,0,0,0.36601107705587693,0.1823065117215686,0.4516824111225545,0.4185571315040063,0.17687378698585596,0.4045690814101377,0.6339889228441231,0.5814428683959937
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.8399715811917003,0.6262109979398138,-0.21376058325188652,0,1,1,1,0,0,0.28105045708627585,0.5979275044357478,0.12102203837797629,0.41471299297694625,0.5443630159062935,0.040923991016760156,0.7189495428137241,0.5852870069230537
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.5885103867833156,0.8311560247204525,0.2426456379371369,1,0,0,0,0,0,0.6543045069184189,0.10288059917984659,0.24281489380173452,0.5106656768888188,0.14751262130191,0.34182170170927123,0.3456954929815811,0.48933432301118124
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.9893497281380268,0.753687820656956,-0.23566190748107074,0,1,0,1,0,0,0.2777867018613249,0.4550768679393234,0.2671364300993517,0.5747680759079627,0.09677602732711883,0.3284558966649186,0.7222132980386751,0.4252319239920374
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.5841482425509308,1.5875793810527004,0.0034311385017695706,1,2,2,0,1,0,0.1883050843599575,0.039241588529154305,0.7724533270108882,0.1581582491945824,0.09610412035813488,0.7457376303472827,0.8116949155400425,0.8418417507054176
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,0.6685738369595156,0.9727614088600443,0.3041875719005287,1,0,0,0,0,0,0.6657130814202422,0.0,0.3342869184797578,0.5136192954699779,0.0,0.4863807044300221,0.3342869184797578,0.4863807044300221
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.3498933326518656,1.4781947615448545,0.1283014288929889,1,2,2,0,1,0,0.2651789076390024,0.1197488518701295,0.615072240390868,0.23298810918380575,0.055829019887533825,0.7111828708286604,0.7348210922609976,0.7670118907161942
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.3938098864946873,1.3266176446844833,-0.067192241810204,0,2,2,0,1,0,0.13730561935070185,0.33157887460390906,0.5311155059453891,0.12873172327730584,0.41591890856090497,0.45534936806178916,0.8626943805492981,0.8712682766226941
