lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost,lower_cum_p_gt0,higher_cum_p_gt0
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.2426468165530988,1.1399784368626538,-0.10266837969044507,0,2,2,0,1,0,0.36103561043105503,0.035281962384790956,0.603682427084154,0.3920363195757318,0.07594892378588261,0.5320147565383856,0.638964389468945,0.6079636803242682
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.8335621324750812,0.8635293224001734,0.029967189925092286,1,0,0,1,0,0,0.5667816546573818,0.032874558010155236,0.40034378723246294,0.5536242516866081,0.029222174026610592,0.4171535741867814,0.43321834524261815,0.446375748213392
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.9108462671103459,0.895922320454803,-0.014923946655542863,0,0,0,1,0,0,0.5373962248716224,0.014361282946409148,0.44824249208196837,0.52085959941831,0.06235848050857712,0.4167819199731129,0.4626037750283775,0.47914040048169004
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.9108462671103459,0.9042947414609698,-0.006551525649376111,0,0,0,1,0,0,0.5373962248716224,0.014361282946409148,0.44824249208196837,0.5289242022771511,0.037856853784727924,0.43321894383812093,0.4626037750283775,0.47107579762284885
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.8016132232499916,0.7903270480688325,-0.011286175181159153,0,0,0,1,0,0,0.5653900725287321,0.06760663149254453,0.36700329587872355,0.5658684907411902,0.07793597024878723,0.3561955389100226,0.4346099273712681,0.4341315091588098
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,0.9396458294877493,0.9042947414609698,-0.035351088026779554,0,0,0,0,0,0,0.4988036686420731,0.06274683302810448,0.43844949822982243,0.5289242022771511,0.037856853784727924,0.43321894383812093,0.501196331257927,0.47107579762284885
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,1.0818885700355947,1.1041345559970561,0.022245985961461434,1,2,2,0,1,0,0.42636512812736266,0.06538117350968008,0.5082536982629573,0.4344359664776084,0.02699351084772721,0.5385705225746644,0.5736348717726374,0.5655640334223916
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.1369813503404878,1.1191206608958473,-0.017860689444640476,0,2,2,0,1,0,0.4229206454129063,0.017177358633699624,0.5599019958533941,0.44043966945207635,0.0,0.5595603304479236,0.5770793544870937,0.5595603304479236
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.0511594876466896,1.0192575436893385,-0.03190194395735113,0,2,2,0,1,0,0.45570682802870005,0.03742685609591011,0.5068663157753898,0.48282448737133493,0.015093481367991712,0.5020820311606734,0.5442931718712999,0.5171755125286651
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.0069410372607244,1.1372172591760752,0.13027622191535082,1,2,2,0,1,0,0.46840650451207155,0.05624595351513258,0.4753475418727959,0.42865205998928263,0.005478620645359455,0.5658693192653579,0.5315934953879284,0.5713479399107173
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.1626954426468494,1.1385868844383296,-0.02410855820851987,0,2,2,0,1,0,0.4186522785765752,0.0,0.5813477213234247,0.4307065576808352,0.0,0.5692934422191648,0.5813477213234247,0.5692934422191648
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.187434796523353,1.1574292591633353,-0.030005537360017653,0,2,2,0,1,0,0.40311230869509557,0.006340585886455797,0.5905471053184486,0.4091276208939085,0.02431549884884782,0.5665568801572437,0.5968876912049044,0.5908723790060916
