feature,pairwise_accuracy,both_correct_rate,n_pairs_dist1,pairwise_acc_dist1,both_correct_dist1,n_pairs_dist2,pairwise_acc_dist2,both_correct_dist2,per_drug_accuracy,per_drug_balanced_accuracy,per_drug_f1_macro,per_drug_f1_weighted,per_drug_mae,per_drug_adjacent_accuracy,per_drug_roc_auc_macro_ovr,per_drug_roc_auc_weighted_ovr
ChemBERTa-MLM,0.42,0.0,7.0,0.5428571428571428,0.0,5.0,0.248,0.0,0.4692307692307692,0.45444444444444443,0.3375586007484195,0.42077191564569694,0.7923076923076923,0.7384615384615384,0.5890532391585023,0.5789252852410747
ChemBERTa-MTR,0.38666666666666666,0.0,7.0,0.56,0.0,5.0,0.144,0.0,0.5,0.4184444444444444,0.3345897435897436,0.44423372781065085,0.7307692307692306,0.7692307692307694,0.5432933090301512,0.5409385351490615
ECFP_1024_2,0.6033333333333334,0.0833333333333333,7.0,0.7142857142857143,0.10857142857142853,5.0,0.44800000000000006,0.04800000000000001,0.4784615384615385,0.3837460317460317,0.35549029928536563,0.4543643740096813,0.803076923076923,0.7184615384615384,0.6441749069643806,0.6532683106367316
GNN_Soft_Clip_with_Frozen_Teacher_seed0_GNN,0.4833333333333333,0.0,7.0,0.6571428571428571,0.0,5.0,0.24000000000000005,0.0,0.5384615384615384,0.3111111111111111,0.2393162393162393,0.41420118343195267,0.6538461538461539,0.8076923076923077,0.3244129262550315,0.40322046374677945
GNN_Soft_Clip_with_Frozen_Teacher_seed0_first_fc,0.45,0.03333333333333332,7.0,0.5142857142857142,0.05714285714285712,5.0,0.36,0.0,0.37692307692307686,0.292063492063492,0.26638328991270166,0.36416437258066214,0.8538461538461538,0.7692307692307693,0.4973600668337511,0.5060728744939271
GNN_Soft_Clip_with_Frozen_Teacher_seed0_second_fc,0.2833333333333333,0.0,7.0,0.45714285714285713,0.0,5.0,0.04,0.0,0.49230769230769234,0.45555555555555544,0.34967741935483865,0.4416211745244003,0.7307692307692307,0.776923076923077,0.5288414217361586,0.5316341553183659
GNN_Soft_Clip_with_Frozen_Teacher_seed1_GNN,0.3333333333333333,0.0,7.0,0.4285714285714285,0.0,5.0,0.2,0.0,0.4615384615384615,0.3277777777777778,0.2762923351158645,0.4012751953928424,0.8076923076923077,0.7307692307692307,0.3168603326498063,0.3912403386087597
GNN_Soft_Clip_with_Frozen_Teacher_seed1_first_fc,0.26666666666666666,0.0,7.0,0.2857142857142857,0.0,5.0,0.24000000000000005,0.0,0.45384615384615384,0.2947619047619048,0.2794909391683585,0.4304798799215672,0.676923076923077,0.8692307692307691,0.4148686109212424,0.467224880382775
GNN_Soft_Clip_with_Frozen_Teacher_seed1_second_fc,0.4666666666666666,0.0,7.0,0.4285714285714285,0.0,5.0,0.5199999999999999,0.0,0.4769230769230769,0.3977777777777777,0.3210989010989011,0.417759932375317,0.7769230769230769,0.7461538461538462,0.5515432520695678,0.5453257269046743
GNN_Soft_Clip_with_Frozen_Teacher_seed2_GNN,0.3333333333333333,0.0,7.0,0.5714285714285714,0.0,5.0,0.0,0.0,0.5,0.35,0.2952380952380952,0.42637362637362647,0.7307692307692307,0.7692307692307693,0.3629015721120983,0.43568273831431725
