feature,accuracy,balanced_accuracy,f1_macro,f1_weighted,mae,adjacent_accuracy,kappa_linear,kappa_quadratic,spearman_r,roc_auc_macro_ovr,roc_auc_weighted_ovr
ChemBERTa-MLM,0.40200304768461864,0.4311894032466884,0.34052755429100373,0.33593358753091207,0.8121279243765369,0.7858690279388445,0.1707192193177015,0.2086722305767297,0.2839061132830625,0.6178824144209144,0.611820383687592
ChemBERTa-MTR,0.41182904698387773,0.43582444108265783,0.35820155092557854,0.3584208383015099,0.7986696789219597,0.7895012740941627,0.17400275754357164,0.20611333883259783,0.2617753070430147,0.6179553179783313,0.6144770365253033
ECFP_1024_2,0.4650602105211979,0.4800960416950574,0.41837053407364794,0.42366847011126785,0.703257005945702,0.8316827835331001,0.24540132476969562,0.28482709128228295,0.3402652998232501,0.6516155272818409,0.6478557102955139
GNN_Soft_Clip_with_Frozen_Teacher_seed0_GNN,0.4148055752733949,0.450191115829941,0.34144708878386437,0.3324897933475207,0.789841705476049,0.7953527192505561,0.20026735782979702,0.24572716871816533,0.301733503317194,0.6302238319975708,0.6250281084861524
GNN_Soft_Clip_with_Frozen_Teacher_seed0_first_fc,0.4572805491398546,0.46669715268684564,0.42059382828553615,0.4285657110528616,0.7046048669021114,0.838114583958034,0.2272990978474402,0.2685792257419759,0.3307169602677207,0.6458384187857884,0.6410235962150963
GNN_Soft_Clip_with_Frozen_Teacher_seed0_second_fc,0.41719782829191826,0.44054909612953,0.33578268832066926,0.328470331298103,0.7827510512198894,0.8000511204881923,0.18863636511422616,0.23375176432905576,0.28445163782584515,0.6207793967272989,0.6134943049428128
GNN_Soft_Clip_with_Frozen_Teacher_seed1_GNN,0.4247393212390479,0.4562162877147862,0.3559709669390208,0.3493296933757711,0.773807468304185,0.8014532104567671,0.20782697845805997,0.25176518079570964,0.3058214390165738,0.6294800244750142,0.6219259430450235
GNN_Soft_Clip_with_Frozen_Teacher_seed1_first_fc,0.4527413864209471,0.4640628764200758,0.4157246478662251,0.4243178799839177,0.7128109449025317,0.8344476686765212,0.22656811865326773,0.268491244804354,0.3406938362258305,0.6449520114953308,0.6397262870141381
GNN_Soft_Clip_with_Frozen_Teacher_seed1_second_fc,0.40831428103973333,0.4329673946999123,0.33146972090871735,0.32461359932433786,0.8009887295293651,0.7906969894309016,0.17273436894175084,0.21345206196317254,0.3069192850668019,0.6400253538577164,0.633371141476004
GNN_Soft_Clip_with_Frozen_Teacher_seed2_GNN,0.4231745353909409,0.45251178424676747,0.34953342618139255,0.3433413725341253,0.7733234644943662,0.803502000114693,0.20711037969773835,0.253816388331255,0.3121354220258125,0.6297098150543954,0.6232882801419853
GNN_Soft_Clip_with_Frozen_Teacher_seed2_first_fc,0.4433072355097603,0.4603904211696362,0.3969157112753032,0.4007904842453258,0.7303576884614026,0.8263350760288372,0.22418283477517,0.2701617267876331,0.3374731514024649,0.6365072822288877,0.6328479196184013
GNN_Soft_Clip_with_Frozen_Teacher_seed2_second_fc,0.4123315939746908,0.4396869480974843,0.33165755937782676,0.3239079723800464,0.7907067809616186,0.7969616250636906,0.1894124773498023,0.23593382849827468,0.2884717172821701,0.6159768603155399,0.6088329835332378
GNN_Soft_Clip_with_Teacher_seed0_GNN,0.43467808289199916,0.4561402952890479,0.37871284697309365,0.37899903007387326,0.7533532393807395,0.8119686777272612,0.20966917517058747,0.25122940699384466,0.3031975960058363,0.6261020365760718,0.6222048318215856
GNN_Soft_Clip_with_Teacher_seed0_first_fc,0.4526569793421333,0.46458880750712495,0.4136688543422874,0.42044243777653284,0.7098607808141874,0.8374822398436794,0.22970729333992407,0.2753478477237106,0.33893033847551685,0.6394750907435318,0.6335880431840536
GNN_Soft_Clip_with_Teacher_seed0_second_fc,0.41638853013028815,0.4362422897183824,0.3389057662788106,0.33507693496772356,0.7881054662945375,0.7955060035751742,0.18256485384336282,0.22298946541669107,0.27889433622624155,0.6277328489102598,0.6215125090865885
GNN_Soft_Clip_with_Teacher_seed1_GNN,0.42414533302582635,0.4504886924722333,0.34944610117808866,0.3440062732755711,0.776353034396966,0.7995016325772076,0.19955690096238018,0.2420228202102644,0.315213099119746,0.6274521506974089,0.6193833689290114
GNN_Soft_Clip_with_Teacher_seed1_first_fc,0.44713869473280204,0.4629605395732005,0.4007658375574917,0.40508372608423143,0.7256596706359827,0.8272016346312152,0.22651750403704443,0.27202697948643656,0.34310053580403804,0.6412315291459265,0.6358884506203415
GNN_Soft_Clip_with_Teacher_seed1_second_fc,0.40313481553227154,0.4221105456055872,0.31982527632644897,0.3142557999526502,0.8084827777009859,0.7883824067667424,0.16139133135543218,0.20192584136686265,0.2516172528726024,0.6083065150587733,0.6030442217268501
GNN_Soft_Clip_with_Teacher_seed2_GNN,0.42546566649485107,0.4503181048042249,0.35422669735649337,0.3491513002254583,0.7698242867465943,0.8047100467585545,0.20341101716266669,0.24828532005086296,0.3094338666476206,0.6353530929099055,0.6301511316040861
GNN_Soft_Clip_with_Teacher_seed2_first_fc,0.45318846181519407,0.4637688740510811,0.41655187392758086,0.42510139196635655,0.71334028561794,0.8334712525668659,0.22345456211107315,0.26305138686526175,0.3316834102493494,0.6420294764667099,0.6392144862512583
GNN_Soft_Clip_with_Teacher_seed2_second_fc,0.4161726624603201,0.43401630903532423,0.3373571747730722,0.33381857898980594,0.7878844568841897,0.7959428806554902,0.18196973722090778,0.22303832149053485,0.2977150741351223,0.6435865680205239,0.6402603464587586
GNN_Soft_Clip_with_Teacher_with_centering_seed0_GNN,0.42524184134408655,0.4553805994458892,0.36386247511319314,0.35921064146292514,0.7719589001422004,0.802799258513713,0.2066584497610481,0.24897275901409888,0.3188755566922092,0.6414639834922603,0.6344659614531882
GNN_Soft_Clip_with_Teacher_with_centering_seed0_first_fc,0.4570922744406802,0.47040203875379183,0.4199826062053129,0.4248765609438257,0.7115070425429723,0.8314006830163475,0.22904382969581225,0.2672031073329987,0.3496179038604818,0.6555018326960347,0.6505955765071465
GNN_Soft_Clip_with_Teacher_with_centering_seed0_second_fc,0.4181154007939554,0.44659692079884405,0.34041267494642746,0.33338239886282794,0.7830533573140337,0.7988312418920108,0.19861390217085423,0.24445159130867172,0.3128756923462832,0.6268730487711305,0.6203560803573204
GNN_Soft_Clip_with_Teacher_with_centering_seed1_GNN,0.4195884973331432,0.448376948649017,0.3488073218995826,0.34124506501693674,0.7806891365240647,0.7997223661427922,0.19535692701326557,0.2388383145505949,0.293759128324987,0.6210847077911892,0.6130482350800089
GNN_Soft_Clip_with_Teacher_with_centering_seed1_first_fc,0.46838629531009657,0.47444855651312823,0.43534686949119433,0.44509608167460407,0.688286942947917,0.8433267617419864,0.2378260261682589,0.2763773942154439,0.3446535982342969,0.6490443653721121,0.6448874070568043
