safe_drug,toxic_drug,p_safe,p_toxic,delta,pairwise_correct,safe_correct,toxic_correct,both_correct,safe_label,toxic_label,safe_pred,toxic_pred
Nystatin,Amphotericin B,0.29254765069808786,0.3159019454254041,0.02335429472731626,True,True,False,False,0.0,1.0,0,0
Temsirolimus,Everolimus,0.36391842151673204,0.3897288246667779,0.025810403150045846,True,True,False,False,0.0,1.0,0,0
Protriptyline hydrochloride,Nortriptyline hydrochloride,0.5531273881401249,0.5571068739565015,0.003979485816376638,True,False,True,False,0.0,1.0,1,1
Daunorubicin hydrochloride,Doxorubicin hydrochloride,0.4999238739904046,0.47892884432636357,-0.020995029664041043,False,True,False,False,0.0,1.0,0,0
Exenatide synthetic,Liraglutide,0.24315293890481546,0.249924694284398,0.00677175537958255,True,True,False,False,0.0,1.0,0,0
Terazosin hydrochloride,Alfuzosin hydrochloride,0.6311977657178294,0.614688409483967,-0.016509356233862404,False,False,True,False,0.0,1.0,1,1
Lurasidone hydrochloride,Ziprasidone hydrochloride,0.5251807582405431,0.6176519621870218,0.09247120394647868,True,True,True,True,0.0,1.0,0,1
Budesonide,Prednisone,0.4845257503932467,0.48999877359836697,0.005473023205120275,True,True,False,False,0.0,1.0,0,0
Budesonide,Prednisolone,0.4845257503932467,0.4333354940892766,-0.051190256303970116,False,True,False,False,0.0,1.0,0,0
Pramlintide acetate,Liraglutide,0.21647043386618917,0.249924694284398,0.03345426041820884,True,True,False,False,0.0,1.0,0,0
Dutasteride,Finasteride,0.5253950000938277,0.5023627886138181,-0.023032211480009557,False,True,False,False,0.0,1.0,0,0
Fesoterodine fumarate,Tolterodine tartrate,0.4857445909890881,0.5219121023858472,0.036167511396759056,True,True,False,False,0.0,1.0,0,0
Topotecan hydrochloride,Irinotecan hydrochloride,0.6310922952571058,0.5284726938242532,-0.10261960143285254,False,False,False,False,0.0,1.0,1,0
Ibutilide fumarate,Dofetilide,0.46238775510600516,0.607960813775828,0.14557305866982284,True,True,True,True,0.0,1.0,0,1
Bacitracin,Daptomycin,0.33329176440000385,0.3201464419829072,-0.01314532241709665,False,True,False,False,0.0,1.0,0,0
Esmolol hydrochloride,Acebutolol hydrochloride,0.5010154055050701,0.6018822400942342,0.10086683458916412,True,True,True,True,0.0,1.0,0,1
Meclizine hydrochloride,Cetirizine hydrochloride,0.5632463641467276,0.47526274355820564,-0.08798362058852194,False,False,False,False,0.0,1.0,1,0
Ibutilide fumarate,Dronedarone hydrochloride,0.46238775510600516,0.534329415769193,0.07194166066318786,True,True,True,True,0.0,1.0,0,1
Levonorgestrel,Progesterone,0.49045826215215355,0.5125047390835581,0.022046476931404546,True,True,False,False,0.0,1.0,0,0
Esmolol hydrochloride,Atenolol,0.5010154055050701,0.44390717973898486,-0.05710822576608521,False,True,False,False,0.0,1.0,0,0
Morphine sulfate,Bromocriptine mesylate,0.25725526911189867,0.505501977829212,0.24824670871731336,True,True,False,False,0.0,1.0,0,0
Alfentanil hydrochloride,Remifentanil hydrochloride,0.47024600876111716,0.5564460191466669,0.08620001038554975,True,True,True,True,0.0,1.0,0,1
Primaquine phosphate,Chloroquine phosphate,0.6404491374346499,0.5680426603921199,-0.07240647704253,False,False,True,False,0.0,1.0,1,1
Triprolidine hydrochloride,Cyproheptadine hydrochloride,0.6577861722162485,0.5606919906559173,-0.09709418156033112,False,False,True,False,0.0,1.0,1,1
Protriptyline hydrochloride,Amitriptyline hydrochloride,0.5531273881401249,0.5773391652270344,0.02421177708690958,True,False,True,False,0.0,1.0,1,1
Primidone,Phenobarbital sodium,0.6174260550403574,0.6005660031845476,-0.016860051855809854,False,False,True,False,0.0,1.0,1,1
Tapentadol hydrochloride,Tramadol hydrochloride,0.4216655763127337,0.412333946416871,-0.009331629895862725,False,True,False,False,0.0,1.0,0,0
Conivaptan hydrochloride,Tolvaptan,0.637456236159398,0.637997836750864,0.0005416005914660182,True,False,True,False,0.0,1.0,1,1
Pramlintide acetate,Repaglinide,0.21647043386618917,0.5834977577079747,0.3670273238417856,True,True,True,True,0.0,1.0,0,1
Temsirolimus,Sunitinib malate,0.36391842151673204,0.6357238821714029,0.2718054606546708,True,True,True,True,0.0,1.0,0,1
Codeine sulfate,Oxycodone hydrochloride,0.3101717861811342,0.37951170179966115,0.06933991561852693,True,True,False,False,0.0,1.0,0,0
Bivalirudin,Ximelagatran,0.2915820143335929,0.5255096328270935,0.23392761849350063,True,True,False,False,0.0,1.0,0,0
Kanamycin,Amphotericin B,0.2140418364273956,0.3159019454254041,0.10186010899800851,True,True,False,False,0.0,1.0,0,0
Vilazodone hydrochloride,Trazodone hydrochloride,0.580514525695962,0.5601522207072771,-0.020362304988684854,False,False,True,False,0.0,1.0,1,1
Morphine sulfate,Oxycodone hydrochloride,0.25725526911189867,0.37951170179966115,0.12225643268776248,True,True,False,False,0.0,1.0,0,0
Exenatide synthetic,Repaglinide,0.24315293890481546,0.5834977577079747,0.34034481880315925,True,True,True,True,0.0,1.0,0,1
Morphine sulfate,Sildenafil citrate,0.25725526911189867,0.6426387168016378,0.3853834476897391,True,True,True,True,0.0,1.0,0,1
Kanamycin,Azithromycin,0.2140418364273956,0.2863680770623523,0.07232624063495668,True,True,False,False,0.0,1.0,0,0
