safe_drug,toxic_drug,p_safe,p_toxic,delta,pairwise_correct,safe_correct,toxic_correct,both_correct,safe_label,toxic_label,safe_pred,toxic_pred
Nystatin,Amphotericin B,0.1876722372002707,0.09983194698583046,-0.08784029021444024,False,True,False,False,0.0,1.0,0,0
Temsirolimus,Everolimus,0.6724279705976356,0.5035001670938414,-0.16892780350379422,False,False,False,False,0.0,1.0,1,0
Protriptyline hydrochloride,Nortriptyline hydrochloride,0.7089305282790603,0.6698071258057006,-0.03912340247335977,False,False,True,False,0.0,1.0,1,1
Daunorubicin hydrochloride,Doxorubicin hydrochloride,0.47278448416776886,0.4742252700731721,0.0014407859054032524,True,True,False,False,0.0,1.0,0,0
Exenatide synthetic,Liraglutide,0.08291739171245824,0.6598175413008326,0.5769001495883743,True,True,True,True,0.0,1.0,0,1
Terazosin hydrochloride,Alfuzosin hydrochloride,0.5569509583831724,0.49847943666409156,-0.05847152171908088,False,False,False,False,0.0,1.0,1,0
Lurasidone hydrochloride,Ziprasidone hydrochloride,0.5582729041735649,0.6174249142709142,0.05915201009734927,True,False,True,False,0.0,1.0,1,1
Budesonide,Prednisone,0.37834170596038375,0.42451217188604207,0.04617046592565832,True,True,False,False,0.0,1.0,0,0
Budesonide,Prednisolone,0.37834170596038375,0.32760527064459555,-0.0507364353157882,False,True,False,False,0.0,1.0,0,0
Pramlintide acetate,Liraglutide,0.32546303793962067,0.6598175413008326,0.3343545033612119,True,True,True,True,0.0,1.0,0,1
Dutasteride,Finasteride,0.4769323892863662,0.44240393719005877,-0.03452845209630745,False,True,False,False,0.0,1.0,0,0
Fesoterodine fumarate,Tolterodine tartrate,0.6143641657131316,0.5541345195321932,-0.0602296461809384,False,False,True,False,0.0,1.0,1,1
Topotecan hydrochloride,Irinotecan hydrochloride,0.5274994091713874,0.5523174426355042,0.024818033464116818,True,False,True,False,0.0,1.0,1,1
Ibutilide fumarate,Dofetilide,0.41307836586554186,0.4789268149048165,0.06584844903927461,True,True,False,False,0.0,1.0,0,0
Bacitracin,Daptomycin,0.4563478597442661,0.8048461468635626,0.3484982871192965,True,True,True,True,0.0,1.0,0,1
Esmolol hydrochloride,Acebutolol hydrochloride,0.6241983631749423,0.5884400200858797,-0.03575834308906256,False,False,True,False,0.0,1.0,1,1
Meclizine hydrochloride,Cetirizine hydrochloride,0.4720277958638224,0.3930544843727417,-0.07897331149108067,False,True,False,False,0.0,1.0,0,0
Ibutilide fumarate,Dronedarone hydrochloride,0.41307836586554186,0.7397685853292381,0.3266902194636962,True,True,True,True,0.0,1.0,0,1
Levonorgestrel,Progesterone,0.45196293457970593,0.4895778717217278,0.037614937142021854,True,True,False,False,0.0,1.0,0,0
Esmolol hydrochloride,Atenolol,0.6241983631749423,0.5238419257633657,-0.10035643741157652,False,False,True,False,0.0,1.0,1,1
Morphine sulfate,Bromocriptine mesylate,0.21117274797343152,0.5204618877868088,0.30928913981337725,True,True,True,True,0.0,1.0,0,1
Alfentanil hydrochloride,Remifentanil hydrochloride,0.6072051475100841,0.4759101490858931,-0.13129499842419107,False,False,False,False,0.0,1.0,1,0
Primaquine phosphate,Chloroquine phosphate,0.6993758841821739,0.6114566997210159,-0.08791918446115798,False,False,True,False,0.0,1.0,1,1
Triprolidine hydrochloride,Cyproheptadine hydrochloride,0.6032559871298288,0.6076363133431129,0.0043803262132841025,True,False,True,False,0.0,1.0,1,1
Protriptyline hydrochloride,Amitriptyline hydrochloride,0.7089305282790603,0.5505892842769886,-0.15834124400207172,False,False,True,False,0.0,1.0,1,1
Primidone,Phenobarbital sodium,0.5086228795244832,0.5559972483988452,0.04737436887436208,True,False,True,False,0.0,1.0,1,1
Tapentadol hydrochloride,Tramadol hydrochloride,0.3739476347687379,0.3548844566060805,-0.0190631781626574,False,True,False,False,0.0,1.0,0,0
Conivaptan hydrochloride,Tolvaptan,0.7848988880417648,0.6787821665408001,-0.10611672150096463,False,False,True,False,0.0,1.0,1,1
Pramlintide acetate,Repaglinide,0.32546303793962067,0.6907498474021982,0.3652868094625776,True,True,True,True,0.0,1.0,0,1
Temsirolimus,Sunitinib malate,0.6724279705976356,0.7297619975865783,0.05733402698894274,True,False,True,False,0.0,1.0,1,1
Codeine sulfate,Oxycodone hydrochloride,0.2876263406893616,0.2716504900792338,-0.015975850610127795,False,True,False,False,0.0,1.0,0,0
Bivalirudin,Ximelagatran,0.1368087751422785,0.5145367550338606,0.37772797989158213,True,True,True,True,0.0,1.0,0,1
Kanamycin,Amphotericin B,0.12167182977496158,0.09983194698583046,-0.021839882789131113,False,True,False,False,0.0,1.0,0,0
Vilazodone hydrochloride,Trazodone hydrochloride,0.6526845086088079,0.47557200601397065,-0.17711250259483724,False,False,False,False,0.0,1.0,1,0
Morphine sulfate,Oxycodone hydrochloride,0.21117274797343152,0.2716504900792338,0.060477742105802285,True,True,False,False,0.0,1.0,0,0
Exenatide synthetic,Repaglinide,0.08291739171245824,0.6907498474021982,0.60783245568974,True,True,True,True,0.0,1.0,0,1
Morphine sulfate,Sildenafil citrate,0.21117274797343152,0.5601373461592001,0.3489645981857685,True,True,True,True,0.0,1.0,0,1
Kanamycin,Azithromycin,0.12167182977496158,0.411744403077511,0.29007257330254943,True,True,False,False,0.0,1.0,0,0
